"HDIM","Plot","Date","Collector","Method","Plant","BeatingDuration","TimeBegin","TimeEnd","DateEnd","CanopyMalaizeHeight","PitFallSlice","Whereabouts"
5189,"Thurston-12","12-Aug-14","TF CE","litter sifting-Berlese","",NA,NA,NA,NA,NA,"C","UHH"
5190,"Thurston-12","12-Aug-14","TF CE","soil extraction","",NA,NA,NA,NA,NA,"E","BERKELEY"
5191,"Thurston-12","12-Aug-14","TF CE","litter sifting-Berlese","",NA,NA,NA,NA,NA,"E","UHH"
5596,"Thurston-12","20-Oct-14","AD CE","Malaise ground","",NA,NA,NA,NA,NA,"","UHH"
5597,"Thurston-12","20-Oct-14","AD CE","Malaise canopy UP","",NA,NA,NA,NA,NA,"","UHH"
5598,"Thurston-12","20-Oct-14","AD CE","Malaise canopy DN","",NA,NA,NA,NA,NA,"","UHH"
5749,"Thurston-12","29-Jan-15","CE","beating","Broussaisia arguta",60,"10:15","10:50",NA,NA,"","UHH"
5750,"Thurston-12","29-Jan-15","TF","beating","Ilex anomola",60,"10:15","10:50",NA,NA,"","UHH"
5751,"Thurston-12","29-Jan-15","CE","beating","Coprosma ochracea",30,"11:10","11:35",NA,NA,"","UHH"
5752,"Thurston-12","29-Jan-15","TF","beating","Cheirodendron trigynum",60,"11:00","12:00",NA,NA,"","UHH"
5753,"Thurston-12","29-Jan-15","AR","beating","Myrsine lessertiana",30,"12:30","1:10",NA,NA,"","UHH"
5754,"Thurston-12","29-Jan-15","TF","beating","green Cibotium",60,"12:00","1:15",NA,NA,"","UHH"
5755,"Thurston-12","29-Jan-15","CE","beating","green Cibotium",60,"12:25","1:25",NA,NA,"","UHH"
5820,"Thurston-12","29-Jan-15","AR","beating","brown Cibotium",30,"1:30","2:35",NA,NA,"","UHH"
5821,"Thurston-12","29-Jan-15","TF","beating","brown Cibotium",20,"1:45","2:25",NA,NA,"","UHH"
5822,"Thurston-12","29-Jan-15","CE","beating","brown Cibotium",10,"2:00","2:30",NA,NA,"","UHH"
5615,"Thurston-04","22-Oct-14","CE TF AM AD","Malaise ground","",NA,NA,NA,NA,NA,"","UHH"
5616,"Thurston-04","22-Oct-14","CE TF AM AD","Malaise canopy UP","",NA,NA,NA,NA,NA,"","UHH"
5617,"Thurston-04","22-Oct-14","CE TF AM AD","Malaise canopy DN","",NA,NA,NA,NA,NA,"","UHH"
5618,"Thurston-04","22-Oct-14","CE TF AM AD","pitfall trap","",NA,NA,NA,NA,NA,"B","UHH"
5619,"Thurston-04","22-Oct-14","CE TF AM AD","pitfall trap","",NA,NA,NA,NA,NA,"D","UHH"
5620,"Thurston-04","22-Oct-14","CE TF AM AD","pitfall trap","",NA,NA,NA,NA,NA,"F","UHH"
5621,"Thurston-04","22-Oct-14","CE TF AM AD","InsectaZooka","",NA,NA,NA,NA,NA,"A","UHH"
5622,"Thurston-04","22-Oct-14","CE TF AM AD","InsectaZooka","",NA,NA,NA,NA,NA,"C","UHH"
5623,"Thurston-04","22-Oct-14","CE TF AM AD","InsectaZooka","",NA,NA,NA,NA,NA,"E","UHH"
5222,"Olaa-01","18-Aug-14","TF CE","litter sifting-Berlese","",NA,NA,NA,NA,NA,"A","UHH"
5223,"Olaa-01","18-Aug-14","TF CE","litter sifting-Berlese","",NA,NA,NA,NA,NA,"C","UHH"
5224,"Olaa-01","18-Aug-14","TF CE","litter sifting-Berlese","",NA,NA,NA,NA,NA,"E","UHH"
5225,"Olaa-01","18-Aug-14","TF CE","soil extraction","",NA,NA,NA,NA,NA,"C","UHH"
5669,"Olaa-01","6-Nov-14","CE BC","Malaise canopy UP","",NA,NA,NA,NA,NA,"","UHH"
5670,"Olaa-01","6-Nov-14","CE BC","Malaise canopy DN","",NA,NA,NA,NA,NA,"","UHH"
5671,"Olaa-01","6-Nov-14","CE BC","Malaise ground","",NA,NA,NA,NA,NA,"","UHH"
5672,"Olaa-01","6-Nov-14","CE BC","pitfall trap","",NA,NA,NA,NA,NA,"B","UHH"
5673,"Olaa-01","6-Nov-14","CE BC","pitfall trap","",NA,NA,NA,NA,NA,"D ","UHH"
5674,"Olaa-01","6-Nov-14","CE BC","pitfall trap","",NA,NA,NA,NA,NA,"F","UHH"
5230,"Olaa-02","18-Aug-14","TF CE","litter sifting-Berlese","",NA,NA,NA,NA,NA,"A","UHH"
5231,"Olaa-02","18-Aug-14","TF CE","litter sifting-Berlese","",NA,NA,NA,NA,NA,"C","UHH"
5232,"Olaa-02","18-Aug-14","TF CE","litter sifting-Berlese","",NA,NA,NA,NA,NA,"E","UHH"
5233,"Olaa-02","18-Aug-14","TF CE","soil extraction","",NA,NA,NA,NA,NA,"E","UHH"
5699,"Olaa-02","6-Nov-14","CE BC","Malaise canopy UP","",NA,NA,NA,NA,NA,"","UHH"
5700,"Olaa-02","6-Nov-14","CE BC","Malaise canopy DN","",NA,NA,NA,NA,NA,"","UHH"
5701,"Olaa-02","6-Nov-14","CE BC","Malaise ground","",NA,NA,NA,NA,NA,"","UHH"
5702,"Olaa-02","6-Nov-14","CE BC","pitfall trap","",NA,NA,NA,NA,NA,"B","UHH"
5703,"Olaa-02","6-Nov-14","CE BC","pitfall trap","",NA,NA,NA,NA,NA,"D ","UHH"
5704,"Olaa-02","6-Nov-14","CE BC","pitfall trap","",NA,NA,NA,NA,NA,"F","UHH"
5226,"Olaa-03","18-Aug-14","TF CE","litter sifting-Berlese","",NA,NA,NA,NA,NA,"A","UHH"
5227,"Olaa-03","18-Aug-14","TF CE","litter sifting-Berlese","",NA,NA,NA,NA,NA,"C","UHH"
5228,"Olaa-03","18-Aug-14","TF CE","litter sifting-Berlese","",NA,NA,NA,NA,NA,"E","UHH"
5229,"Olaa-03","18-Aug-14","TF CE","soil extraction","",NA,NA,NA,NA,NA,"A","UHH"
5681,"Olaa-03","6-Nov-14","CE BC","Malaise canopy UP","",NA,NA,NA,NA,NA,"","UHH"
5682,"Olaa-03","6-Nov-14","CE BC","Malaise canopy DN","",NA,NA,NA,NA,NA,"","UHH"
5683,"Olaa-03","6-Nov-14","CE BC","Malaise ground","",NA,NA,NA,NA,NA,"","UHH"
5684,"Olaa-03","6-Nov-14","CE BC","pitfall trap","",NA,NA,NA,NA,NA,"B","UHH"
5685,"Olaa-03","6-Nov-14","CE BC","pitfall trap","",NA,NA,NA,NA,NA,"D ","UHH"
5686,"Olaa-03","6-Nov-14","CE BC","pitfall trap","",NA,NA,NA,NA,NA,"F","UHH"
5214,"Olaa-06","18-Aug-14","TF CE","litter sifting-Berlese","",NA,NA,NA,NA,NA,"A","UHH"
5215,"Olaa-06","18-Aug-14","TF CE","litter sifting-Berlese","",NA,NA,NA,NA,NA,"C","UHH"
5216,"Olaa-06","18-Aug-14","TF CE","litter sifting-Berlese","",NA,NA,NA,NA,NA,"E","UHH"
5217,"Olaa-06","18-Aug-14","TF CE","soil extraction","",NA,NA,NA,NA,NA,"C","UHH"
5687,"Olaa-06","8-Nov-14","CE TF","Malaise canopy UP","",NA,NA,NA,NA,NA,"","UHH"
5688,"Olaa-06","8-Nov-14","CE TF","Malaise canopy DN","",NA,NA,NA,NA,NA,"","UHH"
5689,"Olaa-06","8-Nov-14","CE TF","Malaise ground","",NA,NA,NA,NA,NA,"","UHH"
5690,"Olaa-06","8-Nov-14","CE TF","pitfall trap","",NA,NA,NA,NA,NA,"B","UHH"
5691,"Olaa-06","8-Nov-14","CE TF","pitfall trap","",NA,NA,NA,NA,NA,"D ","UHH"
5692,"Olaa-06","8-Nov-14","CE TF","pitfall trap","",NA,NA,NA,NA,NA,"F","UHH"
5711,"Olaa-06","19-Nov-14","CE TF","Malaise canopy UP","",NA,NA,NA,NA,NA,"","UHH"
5712,"Olaa-06","19-Nov-14","CE TF","Malaise canopy DN","",NA,NA,NA,NA,NA,"","UHH"
5713,"Olaa-06","19-Nov-14","CE TF","Malaise ground","",NA,NA,NA,NA,NA,"","UHH"
5714,"Olaa-06","19-Nov-14","CE TF","pitfall trap","",NA,NA,NA,NA,NA,"B","UHH"
5715,"Olaa-06","19-Nov-14","CE TF","pitfall trap","",NA,NA,NA,NA,NA,"D ","UHH"
5716,"Olaa-06","19-Nov-14","CE TF","pitfall trap","",NA,NA,NA,NA,NA,"F","UHH"
5218,"Olaa-10","18-Aug-14","TF CE","litter sifting-Berlese","",NA,NA,NA,NA,NA,"A","UHH"
5219,"Olaa-10","18-Aug-14","TF CE","litter sifting-Berlese","",NA,NA,NA,NA,NA,"C","UHH"
5220,"Olaa-10","18-Aug-14","TF CE","litter sifting-Berlese","",NA,NA,NA,NA,NA,"E","UHH"
5221,"Olaa-10","18-Aug-14","TF CE","soil extraction","",NA,NA,NA,NA,NA,"C","UHH"
5693,"Olaa-10","19-Nov-14","CE TF","Malaise canopy UP","",NA,NA,NA,NA,NA,"up","UHH"
5694,"Olaa-10","19-Nov-14","CE TF","Malaise canopy DN","",NA,NA,NA,NA,NA,"down","UHH"
5695,"Olaa-10","19-Nov-14","CE TF","Malaise ground","",NA,NA,NA,NA,NA,"","UHH"
5696,"Olaa-10","19-Nov-14","CE TF","pitfall trap","",NA,NA,NA,NA,NA,"B","UHH"
5697,"Olaa-10","19-Nov-14","CE TF","pitfall trap","",NA,NA,NA,NA,NA,"D ","UHH"
5698,"Olaa-10","19-Nov-14","CE TF","pitfall trap","",NA,NA,NA,NA,NA,"F","UHH"
5210,"Olaa-12","18-Aug-14","TF CE","litter sifting-Berlese","",NA,NA,NA,NA,NA,"A","UHH"
5211,"Olaa-12","18-Aug-14","TF CE","litter sifting-Berlese","",NA,NA,NA,NA,NA,"C","UHH"
5212,"Olaa-12","18-Aug-14","TF CE","litter sifting-Berlese","",NA,NA,NA,NA,NA,"E","UHH"
5213,"Olaa-12","18-Aug-14","TF CE","soil extraction","",NA,NA,NA,NA,NA,"E ","UHH"
5675,"Olaa-12","8-Nov-14","CE TF","Malaise canopy UP","",NA,NA,NA,NA,NA,"","UHH"
5676,"Olaa-12","8-Nov-14","CE TF","Malaise canopy DN","",NA,NA,NA,NA,NA,"","UHH"
5677,"Olaa-12","8-Nov-14","CE TF","Malaise ground","",NA,NA,NA,NA,NA,"","UHH"
5678,"Olaa-12","8-Nov-14","CE TF","pitfall trap","",NA,NA,NA,NA,NA,"B","UHH"
5679,"Olaa-12","8-Nov-14","CE TF","pitfall trap","",NA,NA,NA,NA,NA,"D ","UHH"
5680,"Olaa-12","8-Nov-14","CE TF","pitfall trap","",NA,NA,NA,NA,NA,"F","UHH"
5705,"Olaa-12","19-Nov-14","CE TF","Malaise canopy UP","",NA,NA,NA,NA,NA,"","UHH"
5706,"Olaa-12","19-Nov-14","CE TF","Malaise canopy DN","",NA,NA,NA,NA,NA,"","UHH"
5707,"Olaa-12","19-Nov-14","CE TF","Malaise ground","",NA,NA,NA,NA,NA,"","UHH"
5708,"Olaa-12","19-Nov-14","CE TF","pitfall trap","",NA,NA,NA,NA,NA,"B","UHH"
5709,"Olaa-12","19-Nov-14","CE TF","pitfall trap","",NA,NA,NA,NA,NA,"D ","UHH"
5710,"Olaa-12","19-Nov-14","CE TF","pitfall trap","",NA,NA,NA,NA,NA,"F","UHH"
5257,"1973 flow-107","21-Aug-14","TF CE","litter sifting-Berlese","",NA,NA,NA,NA,NA,"A","UHH"
5258,"1973 flow-107","21-Aug-14","TF CE","litter sifting-Berlese","",NA,NA,NA,NA,NA,"C","UHH"
5259,"1973 flow-107","21-Aug-14","TF CE","litter sifting-Berlese","",NA,NA,NA,NA,NA,"E","UHH"
5790,"1973 flow-107","15-Jan-15","CE TF","Malaise ground","",NA,NA,NA,NA,NA,"","UHH"
5791,"1973 flow-107","15-Jan-15","CE TF","pitfall trap","",NA,NA,NA,NA,NA,"","UHH"
5792,"1973 flow-107","15-Jan-15","CE TF","pitfall trap","",NA,NA,NA,NA,NA,"","UHH"
5793,"1973 flow-107","15-Jan-15","CE TF","pitfall trap","",NA,NA,NA,NA,NA,"","UHH"
5254,"1973 flow-109","21-Aug-14","TF CE","litter sifting-Berlese","",NA,NA,NA,NA,NA,"A","BERKELEY"
5255,"1973 flow-109","21-Aug-14","TF CE","litter sifting-Berlese","",NA,NA,NA,NA,NA,"C","BERKELEY"
5256,"1973 flow-109","21-Aug-14","TF CE","litter sifting-Berlese","",NA,NA,NA,NA,NA,"E","BERKELEY"
5786,"1973 flow-109","15-Jan-15","CE TF","Malaise ground","",NA,NA,NA,NA,NA,"","UHH"
5786,"1973 flow-109","15-Jan-15","CE TF","Malaise ground","",NA,NA,NA,NA,NA,"","UHH"
5786,"1973 flow-109","15-Jan-15","CE TF","Malaise ground","",NA,NA,NA,NA,NA,"","UHH"
5786,"1973 flow-109","15-Jan-15","CE TF","Malaise ground","",NA,NA,NA,NA,NA,"","UHH"
5786,"1973 flow-109","15-Jan-15","CE TF","Malaise ground","",NA,NA,NA,NA,NA,"","UHH"
5786,"1973 flow-109","15-Jan-15","CE TF","Malaise ground","",NA,NA,NA,NA,NA,"","UHH"
5786,"1973 flow-109","15-Jan-15","CE TF","Malaise ground","",NA,NA,NA,NA,NA,"","UHH"
5786,"1973 flow-109","15-Jan-15","CE TF","Malaise ground","",NA,NA,NA,NA,NA,"","UHH"
5786,"1973 flow-109","15-Jan-15","CE TF","Malaise ground","",NA,NA,NA,NA,NA,"","UHH"
5786,"1973 flow-109","15-Jan-15","CE TF","Malaise ground","",NA,NA,NA,NA,NA,"","UHH"
5786,"1973 flow-109","15-Jan-15","CE TF","Malaise ground","",NA,NA,NA,NA,NA,"","UHH"
5786,"1973 flow-109","15-Jan-15","CE TF","Malaise ground","",NA,NA,NA,NA,NA,"","UHH"
5786,"1973 flow-109","15-Jan-15","CE TF","Malaise ground","",NA,NA,NA,NA,NA,"","UHH"
5786,"1973 flow-109","15-Jan-15","CE TF","Malaise ground","",NA,NA,NA,NA,NA,"","UHH"
5786,"1973 flow-109","15-Jan-15","CE TF","Malaise ground","",NA,NA,NA,NA,NA,"","UHH"
5786,"1973 flow-109","15-Jan-15","CE TF","Malaise ground","",NA,NA,NA,NA,NA,"","UHH"
5786,"1973 flow-109","15-Jan-15","CE TF","Malaise ground","",NA,NA,NA,NA,NA,"","UHH"
5786,"1973 flow-109","15-Jan-15","CE TF","Malaise ground","",NA,NA,NA,NA,NA,"","UHH"
5786,"1973 flow-109","15-Jan-15","CE TF","Malaise ground","",NA,NA,NA,NA,NA,"","UHH"
5786,"1973 flow-109","15-Jan-15","CE TF","Malaise ground","",NA,NA,NA,NA,NA,"","UHH"
5786,"1973 flow-109","15-Jan-15","CE TF","Malaise ground","",NA,NA,NA,NA,NA,"","UHH"
5786,"1973 flow-109","15-Jan-15","CE TF","Malaise ground","",NA,NA,NA,NA,NA,"","UHH"
5786,"1973 flow-109","15-Jan-15","CE TF","Malaise ground","",NA,NA,NA,NA,NA,"","UHH"
5786,"1973 flow-109","15-Jan-15","CE TF","Malaise ground","",NA,NA,NA,NA,NA,"","UHH"
5786,"1973 flow-109","15-Jan-15","CE TF","Malaise ground","",NA,NA,NA,NA,NA,"","UHH"
5787,"1973 flow-109","15-Jan-15","CE TF","pitfall trap","",NA,NA,NA,NA,NA,"","UHH"
5788,"1973 flow-109","15-Jan-15","CE TF","pitfall trap","",NA,NA,NA,NA,NA,"","UHH"
5789,"1973 flow-109","15-Jan-15","CE TF","pitfall trap","",NA,NA,NA,NA,NA,"","UHH"
5857,"1973 flow-109","31-Jan-15","TF","beating","Vaccinium reticulatum",60,"10:45","11:25",NA,NA,"","UHH"
5858,"1973 flow-109","31-Jan-15","CE","beating","Dubautia ciliolata",60,"10:45","11:25",NA,NA,"","UHH"
5859,"1973 flow-109","31-Jan-15","BC","beating","Leptecophylla tameiameiae",60,"10:45","11:30",NA,NA,"","UHH"
5860,"1973 flow-109","31-Jan-15","CE","beating","Coprosma ernodeoides",30,"11:45","11:55",NA,NA,"","UHH"
5861,"1973 flow-109","31-Jan-15","TF","beating","Nephrolepis cordifolia",30,"11:45","11:55",NA,NA,"","UHH"
5862,"1973 flow-109","31-Jan-15","BC","beating","Metrosideros polymorpha",60,"11:45","1:00",NA,NA,"","UHH"
5863,"1973 flow-109","31-Jan-15","TF","beating","Metrosideros polymorpha",60,"12:10","12:55",NA,NA,"","UHH"
5864,"1973 flow-109","31-Jan-15","CE","beating","Metrosideros polymorpha",60,"12:10","12:40",NA,NA,"","UHH"
5251,"1973 flow-110","21-Aug-14","TF CE","litter sifting-Berlese","",NA,NA,NA,NA,NA,"A","UHH"
5252,"1973 flow-110","21-Aug-14","TF CE","litter sifting-Berlese","",NA,NA,NA,NA,NA,"C","UHH"
5253,"1973 flow-110","21-Aug-14","TF CE","litter sifting-Berlese","",NA,NA,NA,NA,NA,"E","UHH"
5782,"1973 flow-110","15-Jan-15","CE TF","Malaise ground","",NA,NA,NA,NA,NA,"","UHH"
5783,"1973 flow-110","15-Jan-15","CE TF","pitfall trap","",NA,NA,NA,NA,NA,"","UHH"
5784,"1973 flow-110","15-Jan-15","CE TF","pitfall trap","",NA,NA,NA,NA,NA,"","UHH"
5785,"1973 flow-110","15-Jan-15","CE TF","pitfall trap","",NA,NA,NA,NA,NA,"","UHH"
5849,"1973 flow-110","31-Jan-15","CE","beating","Dubautia ciliolata",60,"7:30","8:05",NA,NA,"","UHH"
5850,"1973 flow-110","31-Jan-15","TF","beating","Vaccinium reticulatum",60,"7:30","8:05",NA,NA,"","UHH"
5851,"1973 flow-110","31-Jan-15","BC","beating","Leptecophylla tameiameiae",60,"7:30","8:45",NA,NA,"","UHH"
5852,"1973 flow-110","31-Jan-15","TF","beating","Nephrolepis cordifolia",30,"8:15","8:45",NA,NA,"","UHH"
5853,"1973 flow-110","31-Jan-15","CE","beating","Coprosma ernodeoides",30,"8:15","8:45",NA,NA,"","UHH"
5854,"1973 flow-110","31-Jan-15","CE","beating","Metrosideros polymorpha",60,"9:00","9:40",NA,NA,"","UHH"
5855,"1973 flow-110","31-Jan-15","TF","beating","Metrosideros polymorpha",60,"9:00","10:00",NA,NA,"","UHH"
5856,"1973 flow-110","31-Jan-15","BC","beating","Metrosideros polymorpha",60,"9:00","10:15",NA,NA,"","UHH"
5245,"1973 flow-79","21-Aug-14","TF CE","litter sifting-Berlese","",NA,NA,NA,NA,NA,"A","UHH"
5246,"1973 flow-79","21-Aug-14","TF CE","litter sifting-Berlese","",NA,NA,NA,NA,NA,"C","UHH"
5247,"1973 flow-79","21-Aug-14","TF CE","litter sifting-Berlese","",NA,NA,NA,NA,NA,"E","UHH"
5798,"1973 flow-79","15-Jan-15","CE TF","Malaise ground","",NA,NA,NA,NA,NA,"","UHH"
5799,"1973 flow-79","15-Jan-15","CE TF","pitfall trap","",NA,NA,NA,NA,NA,"","UHH"
5800,"1973 flow-79","15-Jan-15","CE TF","pitfall trap","",NA,NA,NA,NA,NA,"","UHH"
