"HDIM","Checked","Plot","Date","Collector","Method","Plant","BeatingDuration","TimeBegin","TimeEnd","DateEnd","CanopyMalaiseHeight..ft.","PitFallSlice","Whereabouts","SamplingRound","NoOfVials","Comments","source"
4550,1,"kokee_22","8/21/2015","MS, LVV","leaf litter","","","11:00","","","","C","Wellman 220",2,"","","db"
4550,,"kokee_22","8/21/2015","M. Stark, L. Villegas-Villeza",,"","","","","","","","Hilgard 220",2,"4","","db"
4560,1,"kokee_23","8/21/2015","MS, LVV","leaf litter","","","18:00","","","","","Wellman 220",2,"","","db"
4560,,"kokee_23","8/21/2015","M. Stark, L. Villegas-Villeza",,"","","","","","","","Hilgard 220",2,"","","db"
5000,,"alili_05","7/1/2014","A. DeMarco, B. Cote",,"","","","","","","A","UHH",1,"","added by Andy from Curtis' database","db"
5000,,"AliliSpring_05","1-Jul-14","AD BC","litter sifting-Berlese","","","","",,,"A",,,,"","curtis"
5001,,"alili_05","7/1/2014","A. DeMarco, B. Cote","soil extraction","","","","","","","A","UHH",1,"","added by Andy from Curtis' database","db"
5001,,"AliliSpring_05","1-Jul-14","AD BC","soil extraction","","","","",,,"A",,,,"","curtis"
5002,,"alili_05","7/1/2014","A. DeMarco, B. Cote",,"","","","","","","C","UHH",1,"","added by Andy from Curtis' database","db"
5002,,"AliliSpring_05","1-Jul-14","AD BC","litter sifting-Berlese","","","","",,,"C",,,,"","curtis"
5003,,"alili_05","7/1/2014","A. DeMarco, B. Cote","soil extraction","","","","","","","C","UHH",1,"","added by Andy from Curtis' database","db"
5003,,"AliliSpring_05","1-Jul-14","AD BC","soil extraction","","","","",,,"C",,,,"","curtis"
5004,,"alili_05","7/1/2014","A. DeMarco, B. Cote",,"","","","","","","E","UHH",1,"","added by Andy from Curtis' database","db"
5004,,"AliliSpring_05","1-Jul-14","AD BC","litter sifting-Berlese","","","","",,,"E",,,,"","curtis"
5005,,"alili_05","7/1/2014","A. DeMarco, B. Cote","soil extraction","","","","","","","E","UHH",1,"","added by Andy from Curtis' database","db"
5005,,"AliliSpring_05","1-Jul-14","AD BC","soil extraction","","","","",,,"E",,,,"","curtis"
5006,,"alili_04","7/1/2014","A. DeMarco, B. Cote",,"","","","","","","A","UHH",1,"","added by Andy from Curtis' database","db"
5006,,"AliliSpring_04","1-Jul-14","AD BC","litter sifting-Berlese","","","","",,,"A",,,,"","curtis"
5007,,"alili_04","7/1/2014","A. DeMarco, B. Cote","soil extraction","","","","","","","A","UHH",1,"","added by Andy from Curtis' database","db"
5007,,"AliliSpring_04","1-Jul-14","AD BC","soil extraction","","","","",,,"A",,,,"","curtis"
5008,,"alili_04","7/1/2014","A. DeMarco, B. Cote",,"","","","","","","C","UHH",1,"","added by Andy from Curtis' database","db"
5008,,"AliliSpring_04","1-Jul-14","AD BC","litter sifting-Berlese","","","","",,,"C",,,,"","curtis"
5009,,"alili_04","7/1/2014","A. DeMarco, B. Cote","soil extraction","","","","","","","C","UHH",1,"","added by Andy from Curtis' database","db"
5009,,"AliliSpring_04","1-Jul-14","AD BC","soil extraction","","","","",,,"C",,,,"","curtis"
5010,,"alili_04","7/1/2014","A. DeMarco, B. Cote",,"","","","","","","E","UHH",1,"","added by Andy from Curtis' database","db"
5010,,"AliliSpring_04","1-Jul-14","AD BC","litter sifting-Berlese","","","","",,,"E",,,,"","curtis"
5011,,"alili_04","7/1/2014","A. DeMarco, B. Cote","soil extraction","","","","","","","E","UHH",1,"","added by Andy from Curtis' database","db"
5011,,"AliliSpring_04","1-Jul-14","AD BC","soil extraction","","","","",,,"E",,,,"","curtis"
5012,,"alili_15","7/3/2014","A. DeMarco, L. Nakagawa","soil extraction","","","","","","","A","UHH",1,"","added by Andy from Curtis' database","db"
5012,,"AliliSpring_15","3-Jul-14","AD LN","soil extraction","","","","",,,"A",,,,"","curtis"
5013,,"alili_15","7/3/2014","A. DeMarco, L. Nakagawa",,"","","","","","","A","UHH",1,"","added by Andy from Curtis' database","db"
5013,,"AliliSpring_15","3-Jul-14","AD LN","litter sifting-Berlese","","","","",,,"A",,,,"","curtis"
5014,,"alili_15","7/3/2014","A. DeMarco, L. Nakagawa","soil extraction","","","","","","","C","UHH",1,"","added by Andy from Curtis' database","db"
5014,,"AliliSpring_15","3-Jul-14","AD LN","soil extraction","","","","",,,"C",,,,"","curtis"
5015,,"alili_15","7/3/2014","A. DeMarco, L. Nakagawa","litter","","","","","","","C","Wellman",1,"","added by Andy from Curtis' database","db"
5015,,"AliliSpring_15","3-Jul-14","AD LN","litter sifting-Berlese","","","","",,,"C",,,,"","curtis"
5016,,"alili_15","7/3/2014","A. DeMarco, L. Nakagawa","soil extraction","","","","","","","E","UHH",1,"","added by Andy from Curtis' database","db"
5016,,"AliliSpring_15","3-Jul-14","AD LN","soil extraction","","","","",,,"E",,,,"","curtis"
5017,,"alili_15","7/3/2014","A. DeMarco, L. Nakagawa",,"","","","","","","E","UHH",1,"","added by Andy from Curtis' database","db"
5017,,"AliliSpring_15","3-Jul-14","AD LN","litter sifting-Berlese","","","","",,,"E",,,,"","curtis"
5018,,"alili_14","7/3/2014","A. DeMarco, L. Nakagawa","soil extraction","","","","","","","A","Wellman",1,"","added by Andy from Curtis' database","db"
5018,,"AliliSpring_14","3-Jul-14","AD LN","soil extraction","","","","",,,"A",,,,"","curtis"
5019,,"alili_14","7/3/2014","A. DeMarco, L. Nakagawa",,"","","","","","","A","UHH",1,"","added by Andy from Curtis' database","db"
5019,,"AliliSpring_14","3-Jul-14","AD LN","litter sifting-Berlese","","","","",,,"A",,,,"","curtis"
5020,,"alili_14","7/3/2014","A. DeMarco, L. Nakagawa","soil extraction","","","","","","","C","UHH",1,"","added by Andy from Curtis' database","db"
5020,,"AliliSpring_14","3-Jul-14","AD LN","soil extraction","","","","",,,"C",,,,"","curtis"
5021,,"alili_14","7/3/2014","A. DeMarco, L. Nakagawa",,"","","","","","","C","UHH",1,"","added by Andy from Curtis' database","db"
5021,,"AliliSpring_14","3-Jul-14","AD LN","litter sifting-Berlese","","","","",,,"C",,,,"","curtis"
5022,,"alili_14","7/3/2014","A. DeMarco, L. Nakagawa","soil extraction","","","","","","","E","UHH",1,"","added by Andy from Curtis' database","db"
5022,,"AliliSpring_14","3-Jul-14","AD LN","soil extraction","","","","",,,"E",,,,"","curtis"
5023,,"alili_14","7/3/2014","A. DeMarco, L. Nakagawa",,"","","","","","","E","UHH",1,"","added by Andy from Curtis' database","db"
5023,,"AliliSpring_14","3-Jul-14","AD LN","litter sifting-Berlese","","","","",,,"E",,,,"","curtis"
5024,,"alili_06","7/7/2014","A. DeMarco, B. Cote","soil extraction","","","","","","","A","UHH",1,"","added by Andy from Curtis' database","db"
5024,,"AliliSpring_06","7-Jul-14","AD BC","soil extraction","","","","",,,"A",,,,"","curtis"
5025,,"alili_06","7/7/2014","A. DeMarco, B. Cote",,"","","","","","","A","UHH",1,"","added by Andy from Curtis' database","db"
5025,,"AliliSpring_06","7-Jul-14","AD BC","litter sifting-Berlese","","","","",,,"A",,,,"","curtis"
5026,,"alili_06","7/7/2014","A. DeMarco, B. Cote","soil extraction","","","","","","","C","UHH",1,"","added by Andy from Curtis' database","db"
5026,,"AliliSpring_06","7-Jul-14","AD BC","soil extraction","","","","",,,"C",,,,"","curtis"
5027,,"alili_06","7/7/2014","A. DeMarco, B. Cote",,"","","","","","","C","UHH",1,"","added by Andy from Curtis' database","db"
5027,,"AliliSpring_06","7-Jul-14","AD BC","litter sifting-Berlese","","","","",,,"C",,,,"","curtis"
5028,,"alili_06","7/7/2014","A. DeMarco, B. Cote","soil extraction","","","","","","","E","UHH",1,"","added by Andy from Curtis' database","db"
5028,,"AliliSpring_06","7-Jul-14","AD BC","soil extraction","","","","",,,"E",,,,"","curtis"
5029,,"alili_06","7/7/2014","A. DeMarco, B. Cote",,"","","","","","","E","UHH",1,"","added by Andy from Curtis' database","db"
5029,,"AliliSpring_06","7-Jul-14","AD BC","litter sifting-Berlese","","","","",,,"E",,,,"","curtis"
5030,,"alili_01","7/7/2014","A. DeMarco, B. Cote","soil extraction","","","","","","","A","UHH",1,"","added by Andy from Curtis' database","db"
5030,,"AliliSpring_01","7-Jul-14","AD BC","soil extraction","","","","",,,"A",,,,"","curtis"
5031,,"alili_01","7/7/2014","A. DeMarco, B. Cote",,"","","","","","","A","UHH",1,"","added by Andy from Curtis' database","db"
5031,,"AliliSpring_01","7-Jul-14","AD BC","litter sifting-Berlese","","","","",,,"A",,,,"","curtis"
5032,,"alili_01","7/7/2014","A. DeMarco, B. Cote","soil extraction","","","","","","","C","UHH",1,"","added by Andy from Curtis' database","db"
5032,,"AliliSpring_01","7-Jul-14","AD BC","soil extraction","","","","",,,"C",,,,"","curtis"
5033,,"alili_01","7/7/2014","A. DeMarco, B. Cote",,"","","","","","","C","UHH",1,"","added by Andy from Curtis' database","db"
5033,,"AliliSpring_01","7-Jul-14","AD BC","litter sifting-Berlese","","","","",,,"C",,,,"","curtis"
5034,,"alili_01","7/7/2014","A. DeMarco, B. Cote","soil extraction","","","","","","","E","UHH",1,"","added by Andy from Curtis' database","db"
5034,,"AliliSpring_01","7-Jul-14","AD BC","soil extraction","","","","",,,"E",,,,"","curtis"
5035,,"alili_01","7/7/2014","A. DeMarco, B. Cote",,"","","","","","","E","UHH",1,"","added by Andy from Curtis' database","db"
5035,,"AliliSpring_01","7-Jul-14","AD BC","litter sifting-Berlese","","","","",,,"E",,,,"","curtis"
5036,,"kaiholenaYng_04","7/8/2014","A. DeMarco, L. Nakagawa, B. Cote","soil extraction","","","","","","","A","Wellman",1,"","added by Andy from Curtis' database","db"
5036,,"KaiholenaYng_04","8-Jul-14","AD BC LN","soil extraction","","","","",,,"A",,,,"","curtis"
5037,,"kaiholenaYng_04","7/8/2014","A. DeMarco, L. Nakagawa, B. Cote",,"","","","","","","A","UHH",1,"","added by Andy from Curtis' database","db"
5037,,"KaiholenaYng_04","8-Jul-14","AD BC LN","litter sifting-Berlese","","","","",,,"A",,,,"","curtis"
5038,,"kaiholenaYng_04","7/8/2014","A. DeMarco, L. Nakagawa, B. Cote","soil extraction","","","","","","","C","Wellman",1,"","added by Andy from Curtis' database","db"
5038,,"KaiholenaYng_04","8-Jul-14","AD BC LN","soil extraction","","","","",,,"C",,,,"","curtis"
5039,,"kaiholenaYng_04","7/8/2014","A. DeMarco, L. Nakagawa, B. Cote",,"","","","","","","C","UHH",1,"","added by Andy from Curtis' database","db"
5039,,"KaiholenaYng_04","8-Jul-14","AD BC LN","litter sifting-Berlese","","","","",,,"C",,,,"","curtis"
5040,,"kaiholenaYng_04","7/8/2014","A. DeMarco, L. Nakagawa, B. Cote","soil extraction","","","","","","","E","Wellman",1,"","added by Andy from Curtis' database","db"
5040,,"KaiholenaYng_04","8-Jul-14","AD BC LN","soil extraction","","","","",,,"E",,,,"","curtis"
5041,,"kaiholenaYng_04","7/8/2014","A. DeMarco, L. Nakagawa, B. Cote",,"","","","","","","E","UHH",1,"","added by Andy from Curtis' database","db"
5041,,"KaiholenaYng_04","8-Jul-14","AD BC LN","litter sifting-Berlese","","","","",,,"E",,,,"","curtis"
5042,,"kaiholenaYng_02","7/8/2014","A. DeMarco, L. Nakagawa, B. Cote","soil extraction","","","","","","","A","Wellman",1,"","added by Andy from Curtis' database","db"
5042,,"KaiholenaYng_02","8-Jul-14","AD BC LN","soil extraction","","","","",,,"A",,,,"","curtis"
5043,,"kaiholenaYng_02","7/8/2014","A. DeMarco, L. Nakagawa, B. Cote",,"","","","","","","A","UHH",1,"","added by Andy from Curtis' database","db"
5043,,"KaiholenaYng_02","8-Jul-14","AD BC LN","litter sifting-Berlese","","","","",,,"A",,,,"","curtis"
5044,,"kaiholenaYng_02","7/8/2014","A. DeMarco, L. Nakagawa, B. Cote","soil extraction","","","","","","","C","Wellman",1,"","added by Andy from Curtis' database","db"
5044,,"KaiholenaYng_02","8-Jul-14","AD BC LN","soil extraction","","","","",,,"C",,,,"","curtis"
5045,,"kaiholenaYng_02","7/8/2014","A. DeMarco, L. Nakagawa, B. Cote",,"","","","","","","C","UHH",1,"","added by Andy from Curtis' database","db"
5045,,"KaiholenaYng_02","8-Jul-14","AD BC LN","litter sifting-Berlese","","","","",,,"C",,,,"","curtis"
5046,,"kaiholenaYng_02","7/8/2014","A. DeMarco, L. Nakagawa, B. Cote","soil extraction","","","","","","","E","Wellman",1,"","added by Andy from Curtis' database","db"
5046,,"KaiholenaYng_02","8-Jul-14","AD BC LN","soil extraction","","","","",,,"E",,,,"","curtis"
5047,,"kaiholenaYng_02","7/8/2014","A. DeMarco, L. Nakagawa, B. Cote",,"","","","","","","E","UHH",1,"","added by Andy from Curtis' database","db"
5047,,"KaiholenaYng_02","8-Jul-14","AD BC LN","litter sifting-Berlese","","","","",,,"E",,,,"","curtis"
5048,,"kaiholenaOld_07","7/8/2014","A. DeMarco, L. Nakagawa, B. Cote","soil extraction","","","","","","","A","Wellman",1,"","added by Andy from Curtis' database","db"
5048,,"KaiholenaOld_07","8-Jul-14","AD BC LN","soil extraction","","","","",,,"A",,,,"","curtis"
5049,,"kaiholenaOld_07","7/8/2014","A. DeMarco, L. Nakagawa, B. Cote",,"","","","","","","A","UHH",1,"","added by Andy from Curtis' database","db"
5049,,"KaiholenaOld_07","8-Jul-14","AD BC LN","litter sifting-Berlese","","","","",,,"A",,,,"","curtis"
5050,,"kaiholenaOld_07","7/8/2014","A. DeMarco, L. Nakagawa, B. Cote","soil extraction","","","","","","","C","UHH",1,"","added by Andy from Curtis' database","db"
5050,,"KaiholenaOld_07","8-Jul-14","AD BC LN","soil extraction","","","","",,,"C",,,,"","curtis"
5051,,"kaiholenaOld_07","7/8/2014","A. DeMarco, L. Nakagawa, B. Cote",,"","","","","","","C","UHH",1,"","added by Andy from Curtis' database","db"
5051,,"KaiholenaOld_07","8-Jul-14","AD BC LN","litter sifting-Berlese","","","","",,,"C",,,,"","curtis"
5052,,"kaiholenaOld_07","7/8/2014","A. DeMarco, L. Nakagawa, B. Cote","soil extraction","","","","","","","E","Wellman",1,"","added by Andy from Curtis' database","db"
5052,,"KaiholenaOld_07","8-Jul-14","AD BC LN","soil extraction","","","","",,,"E",,,,"","curtis"
5053,,"kaiholenaOld_07","7/8/2014","A. DeMarco, L. Nakagawa, B. Cote",,"","","","","","","E","UHH",1,"","added by Andy from Curtis' database","db"
5053,,"KaiholenaOld_07","8-Jul-14","AD BC LN","litter sifting-Berlese","","","","",,,"E",,,,"","curtis"
5054,,"kaiholenaOld_08","7/8/2014","A. DeMarco, L. Nakagawa, B. Cote","soil extraction","","","","","","","A","Wellman",1,"","added by Andy from Curtis' database","db"
5054,,"KaiholenaOld_08","8-Jul-14","AD BC LN","soil extraction","","","","",,,"A",,,,"","curtis"
5055,,"kaiholenaOld_08","7/8/2014","A. DeMarco, L. Nakagawa, B. Cote",,"","","","","","","A","UHH",1,"","added by Andy from Curtis' database","db"
5055,,"KaiholenaOld_08","8-Jul-14","AD BC LN","litter sifting-Berlese","","","","",,,"A",,,,"","curtis"
5056,,"kaiholenaOld_08","7/8/2014","A. DeMarco, L. Nakagawa, B. Cote","soil extraction","","","","","","","C","Wellman",1,"","added by Andy from Curtis' database","db"
5056,,"KaiholenaOld_08","8-Jul-14","AD BC LN","soil extraction","","","","",,,"C",,,,"","curtis"
5057,,"kaiholenaOld_08","7/8/2014","A. DeMarco, L. Nakagawa, B. Cote",,"","","","","","","C","UHH",1,"","added by Andy from Curtis' database","db"
5057,,"KaiholenaOld_08","8-Jul-14","AD BC LN","litter sifting-Berlese","","","","",,,"C",,,,"","curtis"
5058,,"kaiholenaOld_08","7/8/2014","A. DeMarco, L. Nakagawa, B. Cote","soil extraction","","","","","","","E","Wellman",1,"","added by Andy from Curtis' database","db"
5058,,"KaiholenaOld_08","8-Jul-14","AD BC LN","soil extraction","","","","",,,"E",,,,"","curtis"
5059,,"kaiholenaOld_08","7/8/2014","A. DeMarco, L. Nakagawa, B. Cote",,"","","","","","","E","UHH",1,"","added by Andy from Curtis' database","db"
5059,,"KaiholenaOld_08","8-Jul-14","AD BC LN","litter sifting-Berlese","","","","",,,"E",,,,"","curtis"
5060,,"hippnet_06","7/18/2014","A. DeMarco, L. Nakagawa, A. Miller","soil extraction","","","","","","","A","UHH",1,"","added by Andy from Curtis' database","db"
5060,,"HIPPNET_06","18-Jul-14","AD LN AM","soil extraction","","","","",,,"A",,,,"","curtis"
5061,,"hippnet_06","7/18/2014","A. DeMarco, L. Nakagawa, A. Miller",,"","","","","","","A","UHH",1,"","added by Andy from Curtis' database","db"
5061,,"HIPPNET_06","18-Jul-14","AD LN AM","litter sifting-Berlese","","","","",,,"A",,,,"","curtis"
5062,,"hippnet_06","7/18/2014","A. DeMarco, L. Nakagawa, A. Miller","soil extraction","","","","","","","C","UHH",1,"","added by Andy from Curtis' database","db"
5062,,"HIPPNET_06","18-Jul-14","AD LN AM","soil extraction","","","","",,,"C",,,,"","curtis"
5063,,"hippnet_06","7/18/2014","A. DeMarco, L. Nakagawa, A. Miller",,"","","","","","","C","UHH",1,"","added by Andy from Curtis' database","db"
5063,,"HIPPNET_06","18-Jul-14","AD LN AM","litter sifting-Berlese","","","","",,,"C",,,,"","curtis"
5064,,"hippnet_06","7/18/2014","A. DeMarco, L. Nakagawa, A. Miller","soil extraction","","","","","","","E","UHH",1,"","added by Andy from Curtis' database","db"
5064,,"HIPPNET_06","18-Jul-14","AD LN AM","soil extraction","","","","",,,"E",,,,"","curtis"
5065,,"hippnet_06","7/18/2014","A. DeMarco, L. Nakagawa, A. Miller","litter","","","","","","","E","Wellman",1,"","added by Andy from Curtis' database","db"
5065,,"HIPPNET_06","18-Jul-14","AD LN AM","litter sifting-Berlese","","","","",,,"E",,,,"","curtis"
5066,,"hippnet_05","7/18/2014","A. DeMarco, L. Nakagawa, A. Miller","soil extraction","","","","","","","A","UHH",1,"","added by Andy from Curtis' database","db"
5066,,"HIPPNET_05","18-Jul-14","AD LN AM","soil extraction","","","","",,,"A",,,,"","curtis"
5067,,"hippnet_05","7/18/2014","A. DeMarco, L. Nakagawa, A. Miller",,"","","","","","","A","UHH",1,"","added by Andy from Curtis' database","db"
5067,,"HIPPNET_05","18-Jul-14","AD LN AM","litter sifting-Berlese","","","","",,,"A",,,,"","curtis"
5068,,"hippnet_05","7/18/2014","A. DeMarco, L. Nakagawa, A. Miller","soil extraction","","","","","","","C","UHH",1,"","added by Andy from Curtis' database","db"
5068,,"HIPPNET_05","18-Jul-14","AD LN AM","soil extraction","","","","",,,"C",,,,"","curtis"
5069,,"hippnet_05","7/18/2014","A. DeMarco, L. Nakagawa, A. Miller",,"","","","","","","C","UHH",1,"","added by Andy from Curtis' database","db"
5069,,"HIPPNET_05","18-Jul-14","AD LN AM","litter sifting-Berlese","","","","",,,"C",,,,"","curtis"
5070,,"hippnet_05","7/18/2014","A. DeMarco, L. Nakagawa, A. Miller","soil extraction","","","","","","","E","UHH",1,"","added by Andy from Curtis' database","db"
5070,,"HIPPNET_05","18-Jul-14","AD LN AM","soil extraction","","","","",,,"E",,,,"","curtis"
5071,,"hippnet_05","7/18/2014","A. DeMarco, L. Nakagawa, A. Miller",,"","","","","","","E","UHH",1,"","added by Andy from Curtis' database","db"
5071,,"HIPPNET_05","18-Jul-14","AD LN AM","litter sifting-Berlese","","","","",,,"E",,,,"","curtis"
5072,,"hippnet_13","7/21/2014","A. DeMarco, L. Nakagawa","soil extraction","","","","","","","A","UHH",1,"","added by Andy from Curtis' database","db"
5072,,"HIPPNET_13","21-Jul-14","AD LN","soil extraction","","","","",,,"A",,,,"","curtis"
5073,,"hippnet_13","7/21/2014","A. DeMarco, L. Nakagawa",,"","","","","","","A","UHH",1,"","added by Andy from Curtis' database","db"
5073,,"HIPPNET_13","21-Jul-14","AD LN","litter sifting-Berlese","","","","",,,"A",,,,"","curtis"
5074,,"hippnet_13","7/21/2014","A. DeMarco, L. Nakagawa","soil extraction","","","","","","","C","UHH",1,"","added by Andy from Curtis' database","db"
5074,,"HIPPNET_13","21-Jul-14","AD LN","soil extraction","","","","",,,"C",,,,"","curtis"
5075,,"hippnet_13","7/21/2014","A. DeMarco, L. Nakagawa",,"","","","","","","C","UHH",1,"","added by Andy from Curtis' database","db"
5075,,"HIPPNET_13","21-Jul-14","AD LN","litter sifting-Berlese","","","","",,,"C",,,,"","curtis"
5076,,"hippnet_13","7/21/2014","A. DeMarco, L. Nakagawa","soil extraction","","","","","","","E","UHH",1,"","added by Andy from Curtis' database","db"
5076,,"HIPPNET_13","21-Jul-14","AD LN","soil extraction","","","","",,,"E",,,,"","curtis"
5077,,"hippnet_13","7/21/2014","A. DeMarco, L. Nakagawa",,"","","","","","","E","UHH",1,"","added by Andy from Curtis' database","db"
5077,,"HIPPNET_13","21-Jul-14","AD LN","litter sifting-Berlese","","","","",,,"E",,,,"","curtis"
5078,,"hippnet_08","7/21/2014","A. DeMarco, L. Nakagawa","soil extraction","","","","","","","A","UHH",1,"","added by Andy from Curtis' database","db"
5078,,"HIPPNET_08a","21-Jul-14","AD LN","soil extraction","","","","",,,"A",,,,"","curtis"
5079,,"hippnet_08","7/21/2014","A. DeMarco, L. Nakagawa",,"","","","","","","A","UHH",1,"","added by Andy from Curtis' database","db"
5079,,"HIPPNET_08a","21-Jul-14","AD LN","litter sifting-Berlese","","","","",,,"A",,,,"","curtis"
5080,,"hippnet_08","7/21/2014","A. DeMarco, L. Nakagawa","soil extraction","","","","","","","C","UHH",1,"","added by Andy from Curtis' database","db"
5080,,"HIPPNET_08a","21-Jul-14","AD LN","soil extraction","","","","",,,"C",,,,"","curtis"
5081,,"hippnet_08","7/21/2014","A. DeMarco, L. Nakagawa",,"","","","","","","C","UHH",1,"","added by Andy from Curtis' database","db"
5081,,"HIPPNET_08a","21-Jul-14","AD LN","litter sifting-Berlese","","","","",,,"C",,,,"","curtis"
5082,,"hippnet_08","7/21/2014","A. DeMarco, L. Nakagawa","soil extraction","","","","","","","E","UHH",1,"","added by Andy from Curtis' database","db"
5082,,"HIPPNET_08a","21-Jul-14","AD LN","soil extraction","","","","",,,"E",,,,"","curtis"
5083,,"hippnet_08","7/21/2014","A. DeMarco, L. Nakagawa",,"","","","","","","E","UHH",1,"","added by Andy from Curtis' database","db"
5083,,"HIPPNET_08a","21-Jul-14","AD LN","litter sifting-Berlese","","","","",,,"E",,,,"","curtis"
5084,,"hippnet_11","7/21/2014","A. DeMarco, L. Nakagawa","soil extraction","","","","","","","A","UHH",1,"","added by Andy from Curtis' database","db"
5084,,"HIPPNET_11","21-Jul-14","AD LN","soil extraction","","","","",,,"A",,,,"","curtis"
5085,,"hippnet_11","7/21/2014","A. DeMarco, L. Nakagawa",,"","","","","","","A","UHH",1,"","added by Andy from Curtis' database","db"
5085,,"HIPPNET_11","21-Jul-14","AD LN","litter sifting-Berlese","","","","",,,"A",,,,"","curtis"
5086,,"hippnet_11","7/21/2014","A. DeMarco, L. Nakagawa","soil extraction","","","","","","","C","UHH",1,"","added by Andy from Curtis' database","db"
5086,,"HIPPNET_11","21-Jul-14","AD LN","soil extraction","","","","",,,"C",,,,"","curtis"
5087,,"hippnet_11","7/21/2014","A. DeMarco, L. Nakagawa",,"","","","","","","C","UHH",1,"","added by Andy from Curtis' database","db"
5087,,"HIPPNET_11","21-Jul-14","AD LN","litter sifting-Berlese","","","","",,,"C",,,,"","curtis"
5088,,"hippnet_11","7/21/2014","A. DeMarco, L. Nakagawa","soil extraction","","","","","","","E","UHH",1,"","added by Andy from Curtis' database","db"
5088,,"HIPPNET_11","21-Jul-14","AD LN","soil extraction","","","","",,,"E",,,,"","curtis"
5089,,"hippnet_11","7/21/2014","A. DeMarco, L. Nakagawa",,"","","","","","","E","UHH",1,"","added by Andy from Curtis' database","db"
5089,,"HIPPNET_11","21-Jul-14","AD LN","litter sifting-Berlese","","","","",,,"E",,,,"","curtis"
5090,,"hippnet_09","7/21/2014","A. DeMarco, L. Nakagawa","soil extraction","","","","","","","A","UHH",1,"","added by Andy from Curtis' database","db"
5090,,"HIPPNET_09","21-Jul-14","AD LN","soil extraction","","","","",,,"A",,,,"","curtis"
5091,,"hippnet_09","7/21/2014","A. DeMarco, L. Nakagawa",,"","","","","","","A","UHH",1,"","added by Andy from Curtis' database","db"
5091,,"HIPPNET_09","21-Jul-14","AD LN","litter sifting-Berlese","","","","",,,"A",,,,"","curtis"
5092,,"hippnet_09","7/21/2014","A. DeMarco, L. Nakagawa","soil extraction","","","","","","","C","UHH",1,"","added by Andy from Curtis' database","db"
5092,,"HIPPNET_09","21-Jul-14","AD LN","soil extraction","","","","",,,"C",,,,"","curtis"
5093,,"hippnet_09","7/21/2014","A. DeMarco, L. Nakagawa",,"","","","","","","C","UHH",1,"","added by Andy from Curtis' database","db"
