"HDIM","Plot","Date","Collector","Method","Plant","BeatingDuration","TimeBegin","TimeEnd","DateEnd","CanopyMalaiseHeight..ft.","PitFallSlice","Whereabouts","SamplingRound","NoOfVials","Comments"
4252,"Thurston-06","6/12/2015","L. Guo","beating","Green Cibotium","36","08:09","08:53","","","","Hilgard 220",2,"","Need Proper Label"
4253,"Thurston-06","6/12/2015","B. Mathat","beating","Green Cibotium","36","08:15","08:45","","","","Hilgard 220",2,"","Need Proper Label"
4254,"Thurston-06","6/12/2015","N. Graham","beating","Green Cibotium","39","08:15","09:05","","","","Hilgard 220",2,"",""
4255,"Thurston-06","6/12/2015","B. Mathat","beating","Cheirodendron","10","09:05","09:16","","","","Hilgard 220",2,"","Need Proper Label"
4256,"Thurston-06","6/12/2015","K. Gallardo","beating","Ilex","37","09:08","09:48","","","","Hilgard 220",2,"","Need Proper Label"
4257,"Thurston-06","6/12/2015","L. Guo","beating","Myrsine","30","09:12","09:48","","","","Hilgard 220",2,"","Need Proper Label"
4258,"Thurston-06","6/12/2015","N. Graham","beating","Myrsine","35","09:30","10:06","","","","Hilgard 220",2,"","Need Proper Label"
4260,"Thurston-06","6/12/2015","B. Mathat","beating","Sadleria","40","09:20","09:50","","","","Hilgard 220",2,"","Need Proper Label"
4261,"Thurston-06","6/12/2015","K. Gallardo","beating","Machaerina","11","09:57","10:15","","","","Hilgard 220",2,"","Need Proper Label"
4262,"Thurston-06","6/12/2015","N. Graham","beating","Sadleria","37","10:21","10:46","","","","Hilgard 220",2,"","Need Proper Label"
4263,"Thurston-06","6/12/2015","B. Mathat","beating","Brown Cibotium","25","10:16","10:46","","","","Hilgard 220",2,"","Need Proper Label"
4264,"Thurston-06","6/12/2015","K. Gallardo","beating","Brown Cibotium","24","10:21","10:55","","","","Hilgard 220",2,"","Need Proper Label"
4265,"Thurston-06","6/12/2015","L. Guo","beating","Brown Cibotium","24","10:21","10:55","","","","Hilgard 220",2,"","Need Proper Label"
4287,"AliliSpring-04","6/24/2015","B. Mathat","beating","Ilex","40","10:05","10:40","","","","Hilgard 220",2,"1","Need Proper Label"
4288,"AliliSpring-04","6/24/2015","K. Jayd","beating","Freycinetia","20","10:05","10:36","","","","Hilgard 220",2,"1","Need Proper Label"
4289,"AliliSpring-04","6/24/2015","K. Gallardo","beating","Broussaisia","40","10:10","","","","","Hilgard 220",2,"1","Need Proper Label"
4290,"AliliSpring-04","6/24/2015","L. Stevens","beating","Broussaisia","20","10:10","10:40","","","","Hilgard 220",2,"1","Need Proper Label"
4291,"AliliSpring-04","6/24/2015","N. Graham","beating","Coprosma","10","10:20","10:40","","","","Hilgard 220",2,"1","Need Proper Label"
4292,"AliliSpring-04","6/24/2015","K. Jayd","beating","Hedyotis","20","10:40","11:05","","","","Hilgard 220",2,"1","Need Proper Label"
4293,"AliliSpring-04","6/24/2015","L. Stevens","beating","Melicope","25","10:54","11:30","","","","Hilgard 220",2,"1","Need Proper Label"
4294,"AliliSpring-04","6/24/2015","B. Mathat","beating","Green Cibotium","45","10:54","11:31","","","","Hilgard 220",2,"1","Need Proper Label"
4295,"AliliSpring-04","6/24/2015","N. Graham","beating","Green Cibotium","60","10:55","11:45","","","","Hilgard 220",2,"1","Need Proper Label"
4296,"AliliSpring-04","6/24/2015","K. Gallardo","beating","Green Cibotium","45","11:05","11:55","","","","Hilgard 220",2,"1","Need Proper Label"
4297,"AliliSpring-04","6/24/2015","K. Jayd","beating","Brown Cibotium","35","11:10","12:00","","","","Hilgard 220",2,"1","Need Proper Label"
4298,"AliliSpring-04","6/24/2015","N. Graham","beating","Brown Cibotium","20","11:53","12:20","","","","Hilgard 220",2,"1","Need Proper Label"
4299,"AliliSpring-04","6/24/2015","K. Gallardo","beating","Brown Cibotium","20","11:58","12:25","","","","Hilgard 220",2,"1","Need Proper Label"
4300,"Hippnet-11","6/25/2015","K. Jayd","beating","Green Cibotium","40","10:20","10:40","","","","Hilgard 220",2,"1","Need Proper Label"
4301,"Hippnet-11","6/25/2015","C. Nicholas","beating","Green Cibotium","40","10:20","10:44","","","","Hilgard 220",2,"1","Need Proper Label"
4302,"Hippnet-11","6/25/2015","K. Shiroma","beating","Green Cibotium","40","10:20","10:41","","","","Hilgard 220",2,"1","Need Proper Label"
4303,"Hippnet-11","6/25/2015","N. Graham","beating","Green Cibotium","40","10:25","10:55","","","","Hilgard 220",2,"1","Need Proper Label"
4304,"Hippnet-11","6/25/2015","C. Nicholas","beating","Cheirodendron","20","10:58","11:19","","","","Hilgard 220",2,"1","Need Proper Label"
4305,"Hippnet-11","6/25/2015","K. Shiroma","beating","Dryopteris","30","10:57","11:17","","","","Hilgard 220",2,"1","Need Proper Label"
4306,"Hippnet-11","6/25/2015","N. Graham","beating","Ilex","30","11:00","11:22","","","","Hilgard 220",2,"2","Need Proper Label"
4307,"Hippnet-11","6/25/2015","K. Jayd","beating","Ilex","30","11:10","12:00","","","","Hilgard 220",2,"1","Need Proper Label"
4308,"Hippnet-11","6/25/2015","K. Shiroma","beating","Sadleria","30","11:28","11:49","","","","Hilgard 220",2,"1","Need Proper Label"
4309,"Hippnet-11","6/25/2015","C. Nicholas","beating","Perrotettia","20","11:28","11:48","","","","Hilgard 220",2,"1","Need Proper Label"
4310,"Hippnet-11","6/25/2015","N. Graham","beating","Broussaisia","10","11:30","11:45","","","","Hilgard 220",2,"1","Need Proper Label"
4311,"Hippnet-11","6/25/2015","C. Nicholas","beating","Brown Cibotium","20","11:53","12:25","","","","Hilgard 220",2,"3","Need Proper Label"
4312,"Hippnet-11","6/25/2015","K. Shiroma","beating","Brown Cibotium","20","11:54","12:21","","","","Hilgard 220",2,"2","Need Proper Label"
4313,"Hippnet-11","6/25/2015","N. Graham","beating","Coprosma","10","11:45","12:05","","","","Hilgard 220",2,"1","Need Proper Label"
4314,"Hippnet-11","6/25/2015","N. Graham","beating","Brown Cibotium","25","12:10","12:36","","","","Hilgard 220",2,"3","Need Proper Label"
4315,"Hippnet-11","6/25/2015","K. Jayd","beating","Brown Cibotium","15","12:20","12:40","","","","Hilgard 220",2,"1","Need Proper Label"
4316,"AliliSpring-01","6/26/2015","M. Stark","beating","Melicope","17","09:23","09:53","","","","Hilgard 220",2,"1","Need Proper Label"
4317,"AliliSpring-01","6/26/2015","C. Nicholas","beating","Myrsine","10","09:16","09:44","","","","Hilgard 220",2,"1","Need Proper Label"
4318,"AliliSpring-01","6/26/2015","N. Graham","beating","Perrotettia","15","09:25","09:47","","","","Hilgard 220",2,"1","Need Proper Label"
4319,"AliliSpring-01","6/26/2015","C. Nicholas","beating","Coprosma","20","09:48","10:27","","","","Hilgard 220",2,"1","Need Proper Label"
4320,"AliliSpring-01","6/26/2015","N. Graham","beating","Dryopteris","20","09:56","10:19","","","","Hilgard 220",2,"1","Need Proper Label"
4321,"AliliSpring-01","6/26/2015","M. Stark","beating","Ilex","30","09:59","10:27","","","","Hilgard 220",2,"1","Need Proper Label"
4322,"AliliSpring-01","6/26/2015","C. Nicholas","beating","Broussaisia","34","10:32","11:10","","","","Hilgard 220",2,"1","Need Proper Label"
4323,"AliliSpring-01","6/26/2015","M. Stark","beating","Broussaisia","34","10:33","11:07","","","","Hilgard 220",2,"1","Need Proper Label"
4324,"AliliSpring-01","6/26/2015","N. Graham","beating","Green Cibotium","60","10:40","11:30","","","","Hilgard 220",2,"1","Need Proper Label"
4325,"AliliSpring-01","6/26/2015","C. Nicholas","beating","Green Cibotium","50","11:13","12:02","","","","Hilgard 220",2,"1","Need Proper Label"
4326,"AliliSpring-01","6/26/2015","M. Stark","beating","Green Cibotium","50","11:14","12:15","","","","Hilgard 220",2,"1","Need Proper Label"
4327,"AliliSpring-01","6/26/2015","N. Graham","beating","Brown Cibotium","40","11:33","12:20","","","","Hilgard 220",2,"1","Need Proper Label"
4328,"AliliSpring-01","6/26/2015","C. Nicholas","beating","Brown Cibotium","21","12:04","12:39","","","","Hilgard 220",2,"3","Need Proper Label"
4329,"AliliSpring-01","6/26/2015","M. Stark","beating","Brown Cibotium","19","12:24","12:45","","","","Hilgard 220",2,"1","Need Proper Label"
4330,"Hippnet-09","6/29/2015","M. Stark","beating","Cheirodendron","20","11:50","12:20","","","","Hilgard 220",2,"1","Need Proper Label"
4331,"Hippnet-09","6/29/2015","N. Graham","beating","Rubus","20","11:50","12:13","","","","Hilgard 220",2,"1","Need Proper Label"
4332,"Hippnet-09","6/29/2015","K. Gallardo","beating","Coprosma","20","11:50","12:18","","","","Hilgard 220",2,"1","Need Proper Label"
4333,"Hippnet-09","6/29/2015","M. Stark","beating","Sadleria","20","12:35","13:00","","","","Hilgard 220",2,"1","Need Proper Label"
4334,"Hippnet-09","6/29/2015","N. Graham","beating","Dryopteris","20","12:25","12:47","","","","Hilgard 220",2,"1","Need Proper Label"
4335,"Hippnet-09","6/29/2015","K. Gallardo","beating","Ilex","20","12:27","13:00","","","","Hilgard 220",2,"1","Need Proper Label"
4336,"Hippnet-09","6/29/2015","M. Stark","beating","Vaccinium","10","12:50","13:05","","","","Hilgard 220",2,"1","Need Proper Label"
4337,"Hippnet-09","6/29/2015","M.Stark","beating","Myrsine","20","13:10","13:51","","","","Hilgard 220",2,"1","Need Proper Label"
4338,"Hippnet-09","6/29/2015","K. Gallardo","beating","Broussaisia","20","13:15","13:45","","","","Hilgard 220",2,"1","Need Proper Label"
4339,"Hippnet-09","6/29/2015","N. Graham","beating","Perrotettia","40","13:22","13:53","","","","Hilgard 220",2,"1","Need Proper Label"
4340,"Hippnet-09","6/29/2015","K. Gallardo","beating","Green Cibotium","50","14:05","15:05","","","","Hilgard 220",2,"1","Need Proper Label"
4341,"Hippnet-09","6/29/2015","N. Graham","beating","Green Cibotium","50","14:05","14:34","","","","Hilgard 220",2,"1","Need Proper Label"
4342,"Hippnet-09","6/29/2015","M. Stark","beating","Green Cibotium","40","14:05","14:50","","","","Hilgard 220",2,"1","Need Proper Label"
4343,"Hippnet-09","6/29/2015","N. Graham","beating","Brown Cibotium","35","14:42","15:20","","","","Hilgard 220",2,"2","Need Proper Label"
4344,"Hippnet-09","6/29/2015","M. Stark","beating","Brown Cibotium","20","15:00","15:30","","","","Hilgard 220",2,"1","Need Proper Label"
4345,"Hippnet-09","6/29/2015","K. Gallardo","beating","Brown Cibotium","15","15:15","15:50","","","","Hilgard 220",2,"1","Need Proper Label"
4346,"AliliSpring-05","7/1/2015","M. Stark","beating","Green Cibotium","180","09:20","12:00","","","","Hilgard 220",2,"3",""
4347,"AliliSpring-05","7/1/2015","K. Shiroma","beating","Brown Cibotium","60","09:20","10:14","","","","Hilgard 220",2,"2",""
4348,"AliliSpring-05","7/1/2015","K. Shiroma","beating","Melicope","80","10:31","11:04","","","","Hilgard 220",2,"1",""
4349,"AliliSpring-05","7/1/2015","K. Shiroma","beating","Perrotettia","20","11:11","11:30","","","","Hilgard 220",2,"1",""
4350,"AliliSpring-05","7/1/2015","K. Shiroma","beating","Ilex","10","11:56","12:10","","","","Hilgard 220",2,"1",""
4351,"AliliSpring-05","7/1/2015","M. Stark","beating","Coprosma","30","12:15","12:30","","","","Hilgard 220",2,"1",""
4352,"AliliSpring-05","7/1/2015","K. Shiroma","beating","Coprosma","30","12:19","12:31","","","","Hilgard 220",2,"1",""
4353,"AliliSpring-05","7/1/2015","K. Shiroma","beating","Psychotria","5","12:40","12:48","","","","Hilgard 220",2,"1",""
4354,"AliliSpring-05","7/1/2015","M. Stark","beating","Dryopteris","5","12:48","12:53","","","","Hilgard 220",2,"1",""
4355,"AliliSpring-06","7/2/2015","M. Stark","beating","Myrsine","50","09:15","10:14","","","","Hilgard 220",2,"1","Doesn't add up to 420"
4356,"AliliSpring-06","7/2/2015","C. Nicholas","beating","Psychotria","30","09:13","09:35","","","","Hilgard 220",2,"1","Doesn't add up to 420"
4357,"AliliSpring-06","7/2/2015","K. Shiroma","beating","Coprosma","40","09:16","09:35","","","","Hilgard 220",2,"1","Doesn't add up to 420"
4358,"AliliSpring-06","7/2/2015","C. Nicholas","beating","Ilex","30","09:40","10:14","","","","Hilgard 220",2,"1","Doesn't add up to 420"
4359,"AliliSpring-06","7/2/2015","K. Shiroma","beating","Broussaisia","30","09:41","10:14","","","","Hilgard 220",2,"1","Doesn't add up to 420"
4360,"AliliSpring-06","7/2/2015","M. Stark","beating","Melicope","20","10:18","10:45","","","","Hilgard 220",2,"1","Doesn't add up to 420"
4361,"AliliSpring-06","7/2/2015","K. Shiroma","beating","Green Cibotium","100","10:19","11:00","","","","Hilgard 220",2,"1","Doesn't add up to 420"
4362,"AliliSpring-06","7/2/2015","C. Nicholas M. Stark","beating","Green Cibotium","80","11:45","12:20","","","","Hilgard 220",2,"1","Doesn't add up to 420"
4363,"AliliSpring-06","7/2/2015","K. Shiroma","beating","Brown Cibotium","20","11:45","11:03","","","","Hilgard 220",2,"1","Doesn't add up to 420"
4364,"Kaiholena-Yng-09","7/15/2015","Loreto V","beating","Psychotria","5","09:38","09:47","","","","Hilgard 220",2,"","Might have to be redone"
4365,"Kaiholena-Yng-09","7/15/2015","K. Shiroma","beating","Ilex","10","09:38","09:50","","","","Hilgard 220",2,"","Might have to be redone"
4366,"Kaiholena-Yng-09","7/15/2015","Loreto V","beating","Cheirodendron","30","09:50","","","","","Hilgard 220",2,"","Might have to be redone"
4367,"Kaiholena-Yng-09","7/15/2015","Loreto V","beating","Broussaisia","60","10:25","","","","","Hilgard 220",2,"","Might have to be redone"
4368,"Kaiholena-Yng-09","7/15/2015","K. Shiroma","beating","Broussaisia","75","10:20","10:54","","","","Hilgard 220",2,"","Might have to be redone"
4369,"Kaiholena-Yng-09","7/15/2015","Loreto V","beating","Brown Cibotium","30","10:44","","","","","Hilgard 220",2,"","Might have to be redone"
4370,"Kaiholena-Yng-09","7/15/2015","K. Shiroma","beating","Brown Cibotium","30","11:02","11:50","","","","Hilgard 220",2,"","Might have to be redone"
4400,"TreePlanting_03","7/16/2015","J.Y. Lim","beating","Metrosideros","60","09:30","10:40","","","","Hilgard 220",2,"1",""
4401,"TreePlanting_03","7/16/2015","K. Gallardo","beating","Metrosideros","60","09:30","10:40","","","","Hilgard 220",2,"1",""
4402,"TreePlanting_03","7/16/2015","A. Rominger","beating","Metrosideros","60","09:30","10:30","","","","Hilgard 220",2,"2",""
4403,"TreePlanting_03","7/16/2015","L. Stevens","beating","Metrosideros","60","09:30","10:50","","","","Hilgard 220",2,"1",""
4404,"TreePlanting_03","7/16/2015","J.Y. Lim","beating","Dicranopteris","45","11:10","11:30","","","","Hilgard 220",2,"1",""
4405,"TreePlanting_03","7/16/2015","K. Gallardo","beating","Dicranopteris","45","11:10","11:25","","","","Hilgard 220",2,"1",""
4406,"TreePlanting_03","7/16/2015","A. Rominger","beating","Ground Cover","45","11:10","11:30","","","","Hilgard 220",2,"1",""
4407,"TreePlanting_03","7/16/2015","L. Stevens","beating","Ground Cover","45","11:10","11:30","","","","Hilgard 220",2,"1",""
4408,"AliliSpring-14","7/17/2015","I. Cho","beating","Broussaisia","30","10:00","10:35","","","","Hilo Boys (in packing box)",2,"1",""
4409,"AliliSpring-14","7/17/2015","A. Rominger","beating","Green Cibotium","117","10:00","11:55","","","","Hilgard 220",2,"1",""
4410,"AliliSpring-14","7/17/2015","I. Cho","beating","Green Cibotium","70","10:40","11:50","","","","Hilgard 220",2,"1",""
4419,"AliliSpring-15","7/17/2015","K. Gallardo","beating","Perrotettia","15","09:40","09:55","","","","Hilgard 220",2,"1",""
4420,"AliliSpring-15","7/17/2015","J.Y. Lim","beating","Psychotria","10","09:30","10:20","","","","Hilgard 220",2,"1",""
4421,"AliliSpring-15","7/17/2015","R. Gillespie","beating","Broussaisia","40","09:40","10:00","","","","Hilgard 220",2,"1",""
4422,"AliliSpring-15","7/17/2015","K. Gallardo","beating","Cheirodendron","10","10:00","10:20","","","","Hilgard 220",2,"1",""
4423,"AliliSpring-15","7/17/2015","J.Y. Lim","beating","Coprosma","60","10:04","10:59","","","","Hilgard 220",2,"1",""
4424,"AliliSpring-15","7/17/2015","K. Gallardo","beating","Melicope","45","10:31","11:23","","","","Hilgard 220",2,"1",""
4425,"AliliSpring-15","7/17/2015","K. Gallardo","beating","Ilex","5","11:40","11:45","","","","Hilgard 220",2,"1",""
4426,"AliliSpring-15","7/17/2015","K. Gallardo","beating","Psychotria","5","11:50","12:00","","","","Hilgard 220",2,"1",""
4427,"TreePlanting_01","7/18/2015","N. Graham","beating","Ground Cover","38","09:00","09:25","","","","Hilgard 220",2,"1",""
4428,"TreePlanting_01","7/18/2015","A. Rominger","beating","Ground Cover","38","09:00","09:25","","","","Hilgard 220",2,"1",""
4429,"TreePlanting_01","7/18/2015","R. Gillespie","beating","Ground Cover","38","09:00","09:30","","","","Hilgard 220",2,"1",""
4430,"TreePlanting_01","7/18/2015","A. Rominger","beating","Metrosideros","76","09:40","10:40","","","","Hilgard 220",2,"1",""
4431,"TreePlanting_01","7/18/2015","N. Graham","beating","Metrosideros","75","09:40","10:50","","","","Hilgard 220",2,"1",""
4432,"TreePlanting_01","7/18/2015","R. Gillespie","beating","Metrosideros","75","09:40","10:55","","","","Hilgard 220",2,"1",""
4433,"TreePlanting_01","7/18/2015","A. Rominger","beating","Lepticophyllum","20","11:05","11:25","","","","Hilgard 220",2,"1",""
4434,"TreePlanting_01","7/18/2015","R. Gillespie","beating","Lepticophyllum","20","11:05","11:25","","","","Hilgard 220",2,"1",""
4435,"TreePlanting_01","7/18/2015","N. Graham","beating","Dicranopteris","40","11:05","","","","","Hilo Boys",2,"1",""
4436,"AliliSpring-15","7/17/2015","R. Gillespie","beating","Green Cibotium","120","11:00","12:00","","","","Hilgard 220",2,"1",""
4437,"AliliSpring-15","7/17/2015","J.Y. Lim","beating","Brown Cibotium","15","11:00","12:00","","","","Hilgard 220",2,"1",""
4440,"AliliSpring-14","7/20/2015","R. Gillespie","beating","Brown Cibotium","30","09:35","10:00","","","","Hilgard 220",2,"1",""
4441,"AliliSpring-14","7/20/2015","K. Gallardo","beating","Brown Cibotium","30","09:35","10:25","","","","Hilgard 220",2,"1",""
4442,"AliliSpring-14","7/20/2015","A. Rominger","beating","Brown Cibotium","32","09:45","10:25","","","","Hilgard 220",2,"1",""
4443,"AliliSpring-14","7/20/2015","K. Gallardo","beating","Psychotria","37","10:40","11:15","","","","Hilgard 220",2,"1",""
4444,"AliliSpring-14","7/20/2015","R. Gillespie","beating","Broussaisia","28","10:40","11:00","","","","Hilgard 220",2,"1",""
4445,"AliliSpring-14","7/20/2015","R. Gillespie","beating","Ilex","10","11:00","11:20","","","","Hilgard 220",2,"1",""
4446,"AliliSpring-14","7/20/2015","A. Rominger","beating","Perrottetia","12","10:30","11:30","","","","Hilgard 220",2,"1",""
4447,"AliliSpring-14","7/20/2015","A. Rominger","beating","Coprosma","12","10:30","11:30","","","","Hilgard 220",2,"1",""
4448,"AliliSpring-14","7/20/2015","A. Rominger","beating","Melicope","12","10:30","11:30","","","","Hilgard 220",2,"1",""
4449,"Thurston_08","7/21/2015","M. Stark","beating","Cheirodendron","92","09:15","10:40","","","","Hilo Boys",2,"",""
4450,"Thurston_08","7/21/2015","B. Cote","beating","Green Cibotium","92","09:15","10:45","","","","Hilo Boys",2,"",""
4451,"Thurston_08","7/21/2015","M. Stark","beating","Brown Cibotium","55","11:05","12:50","","","","Hilo Boys",2,"",""
4452,"Thurston_08","7/21/2015","B. Cote","beating","Myrsine","55","11:00","11:45","","","","Hilgard 220",2,"",""
4453,"Thurston_08","7/21/2015","B. Cote","beating","Coprosma","37","12:00","13:00","","","","Hilo Boys",2,"",""
4454,"Thurston_08","7/21/2015","Loreto V","beating","Ilex","28","13:00","13:37","","","","Hilgard 220",2,"",""
4455,"Thurston_08","7/21/2015","N. Graham","beating","Sadleria","37","13:00","13:40","","","","Hilgard 220",2,"",""
4456,"Thurston_08","7/21/2015","R. Gillespie","beating","Vaccinium","24","13:00","13:30","","","","Hilo Boys",2,"",""
4457,"Thurston_05","7/22/2015","K. Shiroma","beating","Sadleria","33","09:15","09:28","","","","Hilo Boys",2,"",""
4458,"Thurston_05","7/22/2015","K Jayd","beating","Myrsine","65","09:18","09:50","","","","Hilgard 220",2,"",""
4459,"Thurston_05","7/22/2015","L. Stevens","beating","Ilex","37","09:18","10:10","","","","Hilgard 220",2,"",""
4460,"Thurston_05","7/22/2015","C. Nicholas","beating","Cheirodendron","10","09:18","09:33","","","","Hilgard 220",2,"",""
4461,"AliliSpring-15","7/20/2015","K. Gallardo, R. Gillespie, A. Rominger","pitfall","","","","","7/27/2015","","B","Hilo Boys (in packing box)",2,"1",""
4461,"Thurston_05","7/22/2015","K. Shiroma","beating","Brown Cibotium","95","09:40","10:37","","","","Hilgard 220",2,"",""
4462,"AliliSpring-15","7/20/2015","K. Gallardo, R. Gillespie, A. Rominger","pitfall","","","","","7/27/2015","","D","Hilo Boys (in packing box)",2,"1",""
4462,"Thurston_05","7/22/2015","C. Nicholas","beating","Machaerina","11","09:40","09:50","","","","Hilgard 220",2,"",""
4463,"AliliSpring-15","7/20/2015","K. Gallardo, R. Gillespie, A. Rominger","pitfall","","","","","7/27/2015","","F","Hilo Boys (in packing box)",2,"1",""
4463,"Thurston_05","7/22/2015","C. Nicholas","beating","Green Cibotium","90","09:52","10:43","","","","Hilgard 220",2,"",""
4464,"Thurston_05","7/22/2015","K. Jayd","beating","Green Cibotium","45","10:15","10:45","","","","Hilgard 220",2,"",""
4465,"Thurston_05","7/22/2015","L. Stevens","beating","Green Cibotium","34","10:17","10:45","","","","Hilgard 220",2,"",""
4466,"Thurston_04","7/22/2015","K. Shiroma","beating","Coprosma","35","12:28","12:45","","","","Hilgard 220",2,"",""
4467,"Thurston_04","7/22/2015","L. Stevens","beating","Ilex","22","12:28","12:45","","","","Hilgard 220",2,"",""
4468,"Thurston_04","7/22/2015","K. Jayd","beating","Myrsine","45","12:30","12:55","","","","Hilgard 220",2,"",""
4469,"Thurston_04","7/22/2015","C. Nicholas","beating","Sadleria","27","12:28","12:48","","","","Hilgard 220",2,"",""
4470,"Thurston_04","7/22/2015","L. Stevens","beating","Green Cibotium","76","12:50","13:49","","","","Hilgard 220",2,"",""
4471,"Thurston_04","7/22/2015","K. Shiroma","beating","Green Cibotium","76","12:58","13:49","","","","Hilgard 220",2,"",""
4472,"Thurston_04","7/22/2015","C. Nicholas","beating","Astelia ","14","12:52","13:16","","","","Hilgard 220",2,"",""
4473,"Thurston_04","7/22/2015","K. Jayd","beating","Brown Cibotium","76","13:20","13:48","","","","Hilgard 220",2,"",""
4474,"Thurston_04","7/22/2015","C. Nicholas","beating","Cheirodendron","13","13:18","13:03","","","","Hilgard 220",2,"",""
4475,"Thurston_04","7/22/2015","C. Nicholas","beating","Dicranopteris","16","13:39","13:58","","","","Hilgard 220",2,"",""
4476,"Thurston_04","7/22/2015","K. Jayd","beating","Vaccinium","20","13:55","13:59","","","","Hilgard 220",2,"",""
4477,"Olaa_12","7/23/2015","M. Stark","beating","Ilex","15","09:53","10:09","","","","Hilgard 220",2,"1",""
4478,"Olaa_12","7/23/2015","K. Shiroma","beating","Perrotettia","31","09:53","10:04","","","","Hilgard 220",2,"1",""
4479,"Olaa_12","7/23/2015","J.Y. Lim","beating","Cyrtandra platyphylla","46","09:53","10:36","","","","Hilgard 220",2,"1",""
4480,"Olaa_12","7/23/2015","M. Stark","beating","Coprosma","20","10:25","10:38","","","","Hilgard 220",2,"1",""
4481,"Olaa_12","7/23/2015","K. Shiroma","beating","Broussaisia","20","10:20","10:35","","","","Hilgard 220",2,"1",""
4482,"Olaa_12","7/23/2015","M. Stark","beating","Melicope","55","11:20","11:59","","","","Hilgard 220",2,"1",""
