"","HDIM","Checked","Plot","Date","Collector","Method","Plant","BeatingDuration","TimeBegin","TimeEnd","DateEnd","CanopyMalaiseHeight..ft.","PitFallSlice","Whereabouts","SamplingRound","NoOfVials","Comments","X"
"69",5053,NA,"kaiholenaOld_07","7/7/2014","A. DeMarco, L. Nakagawa, B. Cote","leaf litter","","","","","","","E","UHH",1,"","",""
"70",5054,NA,"kaiholenaOld_08","7/7/2014","A. DeMarco, L. Nakagawa, B. Cote","soil extraction","","","","","","","A","Wellman 220",1,"","",""
"71",5055,NA,"kaiholenaOld_08","7/7/2014","A. DeMarco, L. Nakagawa, B. Cote","leaf litter","","","","","","","A","UHH",1,"","",""
"72",5056,NA,"kaiholenaOld_08","7/7/2014","A. DeMarco, L. Nakagawa, B. Cote","soil extraction","","","","","","","C","Wellman 220",1,"","",""
"73",5057,NA,"kaiholenaOld_08","7/7/2014","A. DeMarco, L. Nakagawa, B. Cote","leaf litter","","","","","","","C","UHH",1,"","",""
"74",5058,NA,"kaiholenaOld_08","7/7/2014","A. DeMarco, L. Nakagawa, B. Cote","soil extraction","","","","","","","E","Wellman 220",1,"","",""
"75",5059,NA,"kaiholenaOld_08","7/7/2014","A. DeMarco, L. Nakagawa, B. Cote","leaf litter","","","","","","","E","UHH",1,"","",""
"76",5060,NA,"hippnet_06","7/17/2014","A. DeMarco, L. Nakagawa, A. Miller","soil extraction","","","","","","","A","UHH",1,"","",""
"77",5061,NA,"hippnet_06","7/17/2014","A. DeMarco, L. Nakagawa, A. Miller","leaf litter","","","","","","","A","UHH",1,"","",""
"78",5062,NA,"hippnet_06","7/17/2014","A. DeMarco, L. Nakagawa, A. Miller","soil extraction","","","","","","","C","UHH",1,"","",""
"79",5063,NA,"hippnet_06","7/17/2014","A. DeMarco, L. Nakagawa, A. Miller","leaf litter","","","","","","","C","UHH",1,"","",""
"80",5064,NA,"hippnet_06","7/17/2014","A. DeMarco, L. Nakagawa, A. Miller","soil extraction","","","","","","","E","UHH",1,"","",""
"81",5065,NA,"hippnet_06","7/17/2014","A. DeMarco, L. Nakagawa, A. Miller","leaf litter","","","","","","","E","Wellman 220",1,"","",""
"82",5066,NA,"hippnet_05","7/17/2014","A. DeMarco, L. Nakagawa, A. Miller","soil extraction","","","","","","","A","UHH",1,"","",""
"83",5067,NA,"hippnet_05","7/17/2014","A. DeMarco, L. Nakagawa, A. Miller","leaf litter","","","","","","","A","UHH",1,"","",""
"84",5068,NA,"hippnet_05","7/17/2014","A. DeMarco, L. Nakagawa, A. Miller","soil extraction","","","","","","","C","UHH",1,"","",""
"85",5069,NA,"hippnet_05","7/17/2014","A. DeMarco, L. Nakagawa, A. Miller","leaf litter","","","","","","","C","UHH",1,"","",""
"86",5070,NA,"hippnet_05","7/17/2014","A. DeMarco, L. Nakagawa, A. Miller","soil extraction","","","","","","","E","UHH",1,"","",""
"87",5071,NA,"hippnet_05","7/17/2014","A. DeMarco, L. Nakagawa, A. Miller","leaf litter","","","","","","","E","UHH",1,"","",""
"88",5072,NA,"hippnet_13","7/20/2014","A. DeMarco, L. Nakagawa","soil extraction","","","","","","","A","UHH",1,"","",""
"89",5073,NA,"hippnet_13","7/20/2014","A. DeMarco, L. Nakagawa","leaf litter","","","","","","","A","UHH",1,"","",""
"90",5074,NA,"hippnet_13","7/20/2014","A. DeMarco, L. Nakagawa","soil extraction","","","","","","","C","UHH",1,"","",""
"91",5075,NA,"hippnet_13","7/20/2014","A. DeMarco, L. Nakagawa","leaf litter","","","","","","","C","UHH",1,"","",""
"92",5076,NA,"hippnet_13","7/20/2014","A. DeMarco, L. Nakagawa","soil extraction","","","","","","","E","UHH",1,"","",""
"93",5077,NA,"hippnet_13","7/20/2014","A. DeMarco, L. Nakagawa","leaf litter","","","","","","","E","UHH",1,"","",""
"94",5078,NA,"hippnet_08","7/20/2014","A. DeMarco, L. Nakagawa","soil extraction","","","","","","","A","UHH",1,"","",""
"95",5079,NA,"hippnet_08","7/20/2014","A. DeMarco, L. Nakagawa","leaf litter","","","","","","","A","UHH",1,"","",""
"96",5080,NA,"hippnet_08","7/20/2014","A. DeMarco, L. Nakagawa","soil extraction","","","","","","","C","UHH",1,"","",""
"97",5081,NA,"hippnet_08","7/20/2014","A. DeMarco, L. Nakagawa","leaf litter","","","","","","","C","UHH",1,"","",""
"98",5082,NA,"hippnet_08","7/20/2014","A. DeMarco, L. Nakagawa","soil extraction","","","","","","","E","UHH",1,"","",""
"99",5083,NA,"hippnet_08","7/20/2014","A. DeMarco, L. Nakagawa","leaf litter","","","","","","","E","UHH",1,"","",""
"100",5084,NA,"hippnet_11","7/20/2014","A. DeMarco, L. Nakagawa","soil extraction","","","","","","","A","UHH",1,"","",""
"101",5085,NA,"hippnet_11","7/20/2014","A. DeMarco, L. Nakagawa","leaf litter","","","","","","","A","UHH",1,"","",""
"102",5086,NA,"hippnet_11","7/20/2014","A. DeMarco, L. Nakagawa","soil extraction","","","","","","","C","UHH",1,"","",""
"103",5087,NA,"hippnet_11","7/20/2014","A. DeMarco, L. Nakagawa","leaf litter","","","","","","","C","UHH",1,"","",""
"104",5088,NA,"hippnet_11","7/20/2014","A. DeMarco, L. Nakagawa","soil extraction","","","","","","","E","UHH",1,"","",""
"105",5089,NA,"hippnet_11","7/20/2014","A. DeMarco, L. Nakagawa","leaf litter","","","","","","","E","UHH",1,"","",""
"106",5090,NA,"hippnet_09","7/20/2014","A. DeMarco, L. Nakagawa","soil extraction","","","","","","","A","UHH",1,"","",""
"107",5091,NA,"hippnet_09","7/20/2014","A. DeMarco, L. Nakagawa","leaf litter","","","","","","","A","UHH",1,"","",""
"108",5092,NA,"hippnet_09","7/20/2014","A. DeMarco, L. Nakagawa","soil extraction","","","","","","","C","UHH",1,"","",""
"109",5093,NA,"hippnet_09","7/20/2014","A. DeMarco, L. Nakagawa","leaf litter","","","","","","","C","UHH",1,"","",""
"110",5094,NA,"hippnet_09","7/20/2014","A. DeMarco, L. Nakagawa","soil extraction","","","","","","","E","UHH",1,"","",""
"111",5095,NA,"hippnet_09","7/20/2014","A. DeMarco, L. Nakagawa","leaf litter","","","","","","","E","Wellman 220",1,"","",""
"112",5096,NA,"kaiholenaYng_09","7/23/2014","A. DeMarco, L. Nakagawa, K. Roy","soil extraction","","","","","","","A","UHH",1,"","",""
"113",5097,NA,"kaiholenaYng_09","7/23/2014","A. DeMarco, L. Nakagawa, K. Roy","leaf litter","","","","","","","A","Wellman 220",1,"","",""
"114",5098,NA,"kaiholenaYng_09","7/23/2014","A. DeMarco, L. Nakagawa, K. Roy","soil extraction","","","","","","","C","Wellman 220",1,"","",""
"115",5099,NA,"kaiholenaYng_09","7/23/2014","A. DeMarco, L. Nakagawa, K. Roy","leaf litter","","","","","","","C","UHH",1,"","",""
"116",5100,NA,"kaiholenaYng_09","7/23/2014","A. DeMarco, L. Nakagawa, K. Roy","soil extraction","","","","","","","E","UHH",1,"","",""
"117",5101,NA,"kaiholenaYng_09","7/23/2014","A. DeMarco, L. Nakagawa, K. Roy","leaf litter","","","","","","","E","UHH",1,"","",""
"118",5102,NA,"kaiholenaOld_05","7/23/2014","A. DeMarco, L. Nakagawa, K. Roy","soil extraction","","","","","","","A","Wellman 220",1,"","",""
"119",5103,NA,"kaiholenaOld_05","7/23/2014","A. DeMarco, L. Nakagawa, K. Roy","leaf litter","","","","","","","A","UHH",1,"","",""
"120",5104,NA,"kaiholenaOld_05","7/23/2014","A. DeMarco, L. Nakagawa, K. Roy","soil extraction","","","","","","","C","Wellman 220",1,"","",""
"121",5105,NA,"kaiholenaOld_05","7/23/2014","A. DeMarco, L. Nakagawa, K. Roy","leaf litter","","","","","","","C","UHH",1,"","",""
"122",5106,NA,"kaiholenaOld_05","7/23/2014","A. DeMarco, L. Nakagawa, K. Roy","soil extraction","","","","","","","E","Wellman 220",1,"","",""
"123",5107,NA,"kaiholenaOld_05","7/23/2014","A. DeMarco, L. Nakagawa, K. Roy","leaf litter","","","","","","","E","UHH",1,"","",""
"124",5108,NA,"kaiholenaYng_11","7/23/2014","A. DeMarco, L. Nakagawa, K. Roy","soil extraction","","","","","","","A","UHH",1,"","",""
"125",5109,NA,"kaiholenaYng_11","7/23/2014","A. DeMarco, L. Nakagawa, K. Roy","leaf litter","","","","","","","A","UHH",1,"","",""
"126",5110,NA,"kaiholenaYng_11","7/23/2014","A. DeMarco, L. Nakagawa, K. Roy","soil extraction","","","","","","","C","Wellman 220",1,"","",""
"127",5111,NA,"kaiholenaYng_11","7/23/2014","A. DeMarco, L. Nakagawa, K. Roy","leaf litter","","","","","","","C","UHH",1,"","",""
"128",5112,NA,"kaiholenaYng_11","7/23/2014","A. DeMarco, L. Nakagawa, K. Roy","soil extraction","","","","","","","E","Wellman 220",1,"","",""
"129",5113,NA,"kaiholenaYng_11","7/23/2014","A. DeMarco, L. Nakagawa, K. Roy","leaf litter","","","","","","","E","UHH",1,"","",""
"130",5114,NA,"kaiholenaYng_10","7/23/2014","A. DeMarco, L. Nakagawa, K. Roy","soil extraction","","","","","","","A","Wellman 220",1,"","",""
"131",5115,NA,"kaiholenaYng_10","7/23/2014","A. DeMarco, L. Nakagawa, K. Roy","leaf litter","","","","","","","A","UHH",1,"","",""
"132",5116,NA,"kaiholenaYng_10","7/23/2014","A. DeMarco, L. Nakagawa, K. Roy","soil extraction","","","","","","","C","Wellman 220",1,"","",""
"133",5117,NA,"kaiholenaYng_10","7/23/2014","A. DeMarco, L. Nakagawa, K. Roy","leaf litter","","","","","","","C","UHH",1,"","",""
"134",5118,NA,"kaiholenaYng_10","7/23/2014","A. DeMarco, L. Nakagawa, K. Roy","soil extraction","","","","","","","E","Wellman 220",1,"","",""
"135",5119,NA,"kaiholenaYng_10","7/23/2014","A. DeMarco, L. Nakagawa, K. Roy","leaf litter","","","","","","","E","UHH",1,"","",""
"136",5120,NA,"laupOld_14","7/27/2014","A. DeMarco, T. Fezza","soil extraction","","","","","","","A","UHH",1,"","2 with 5120 and A",""
"137",5121,NA,"laupOld_14","7/27/2014","A. DeMarco, T. Fezza","leaf litter","","","","","","","A","UHH",1,"","",""
"138",5122,NA,"laupOld_14","7/27/2014","A. DeMarco, T. Fezza","soil extraction","","","","","","","C","UHH",1,"","2 with 5122 and C",""
"139",5123,NA,"laupOld_14","7/27/2014","A. DeMarco, T. Fezza","leaf litter","","","","","","","C","UHH",1,"","",""
"140",5124,NA,"laupOld_14","7/27/2014","A. DeMarco, T. Fezza","soil extraction","","","","","","","E","UHH",1,"","2 with 5124 and E",""
"141",5125,NA,"laupOld_14","7/27/2014","A. DeMarco, T. Fezza","leaf litter","","","","","","","E","UHH",1,"","",""
"142",5126,NA,"kaiholenaOld_06","7/29/2014","A. DeMarco, T. Fezza, K. Roy","soil extraction","","","","","","","A","Wellman 220",1,"","",""
"143",5127,NA,"kaiholenaOld_06","7/29/2014","A. DeMarco, T. Fezza, K. Roy","leaf litter","","","","","","","A","UHH",1,"","",""
"144",5128,NA,"kaiholenaOld_06","7/29/2014","A. DeMarco, T. Fezza, K. Roy","soil extraction","","","","","","","C","Wellman 220",1,"2","",""
"145",5129,NA,"kaiholenaOld_06","7/29/2014","A. DeMarco, T. Fezza, K. Roy","leaf litter","","","","","","","C","UHH",1,"","",""
"146",5130,NA,"kaiholenaOld_06","7/29/2014","A. DeMarco, T. Fezza, K. Roy","soil extraction","","","","","","","E","Wellman 220",1,"2","",""
"147",5131,NA,"kaiholenaOld_06","7/29/2014","A. DeMarco, T. Fezza, K. Roy","leaf litter","","","","","","","E","Wellman 220",1,"","",""
"148",5132,NA,"kaiholenaYng_08","7/29/2014","A. DeMarco, T. Fezza, K. Roy","soil extraction","","","","","","","A","UHH",1,"","",""
"149",5133,NA,"kaiholenaYng_08","7/29/2014","A. DeMarco, T. Fezza, K. Roy","leaf litter","","","","","","","A","NEED TO FIND",1,"","",""
"150",5134,NA,"kaiholenaYng_08","7/29/2014","A. DeMarco, T. Fezza, K. Roy","soil extraction","","","","","","","C","Wellman 220",1,"5","",""
"151",5135,NA,"kaiholenaYng_08","7/29/2014","A. DeMarco, T. Fezza, K. Roy","leaf litter","","","","","","","C","UHH",1,"","",""
"152",5136,NA,"kaiholenaYng_08","7/29/2014","A. DeMarco, T. Fezza, K. Roy","soil extraction","","","","","","","E","Wellman 220",1,"2","",""
"153",5137,NA,"kaiholenaYng_08","7/29/2014","A. DeMarco, T. Fezza, K. Roy","leaf litter","","","","","","","E","UHH",1,"","",""
"154",5138,NA,"laupLSAG_15","7/31/2014","A. DeMarco, T. Fezza, K. Roy","soil extraction","","","","","","","A","Wellman 220",1,"","",""
"155",5139,NA,"laupLSAG_15","7/31/2014","A. DeMarco, T. Fezza, K. Roy","leaf litter","","","","","","","A","Wellman 220",1,"","",""
"156",5140,NA,"laupLSAG_15","7/31/2014","A. DeMarco, T. Fezza, K. Roy","soil extraction","","","","","","","C","Wellman 220",1,"","",""
"157",5141,NA,"laupLSAG_15","7/31/2014","A. DeMarco, T. Fezza, K. Roy","leaf litter","","","","","","","C","Wellman 220",1,"","",""
"158",5142,NA,"laupLSAG_15","7/31/2014","A. DeMarco, T. Fezza, K. Roy","soil extraction","","","","","","","E","Wellman 220",1,"","",""
"159",5143,NA,"laupLSAG_15","7/31/2014","A. DeMarco, T. Fezza, K. Roy","leaf litter","","","","","","","E","UHH",1,"","",""
"160",5144,NA,"laupLSAG_12","7/31/2014","A. DeMarco, T. Fezza, K. Roy","soil extraction","","","","","","","A","Wellman 220",1,"","",""
"161",5145,NA,"laupLSAG_12","7/31/2014","A. DeMarco, T. Fezza, K. Roy","leaf litter","","","","","","","A","Wellman 220",1,"","",""
"162",5146,NA,"laupLSAG_12","7/31/2014","A. DeMarco, T. Fezza, K. Roy","soil extraction","","","","","","","C","Wellman 220",1,"","",""
"163",5147,NA,"laupLSAG_12","7/31/2014","A. DeMarco, T. Fezza, K. Roy","leaf litter","","","","","","","C","Wellman 220",1,"","",""
"164",5148,NA,"laupLSAG_12","7/31/2014","A. DeMarco, T. Fezza, K. Roy","soil extraction","","","","","","","E","Wellman 220",1,"","",""
"165",5149,NA,"laupLSAG_12","7/31/2014","A. DeMarco, T. Fezza, K. Roy","leaf litter","","","","","","","E","Wellman 220",1,"","",""
"166",5150,NA,"laupLSAG_10","8/5/2014","A. DeMarco, T. Fezza","soil extraction","","","","","","","A","NEED TO FIND",1,"","",""
"167",5151,NA,"laupLSAG_10","8/5/2014","A. DeMarco, T. Fezza","leaf litter","","","","","","","A","Wellman 220",1,"","",""
"168",5152,NA,"laupLSAG_10","8/5/2014","A. DeMarco, T. Fezza","soil extraction","","","","","","","C","Wellman 220",1,"","2 with 5152 and c, 1 in Berkeley",""
"169",5153,NA,"laupLSAG_10","8/5/2014","A. DeMarco, T. Fezza","leaf litter","","","","","","","C","UHH",1,"","",""
"170",5154,NA,"laupLSAG_10","8/5/2014","A. DeMarco, T. Fezza","soil extraction","","","","","","","E","NEED TO FIND",1,"","",""
"171",5155,NA,"laupLSAG_10","8/5/2014","A. DeMarco, T. Fezza","leaf litter","","","","","","","E","Wellman 220",1,"","",""
"172",5156,NA,"laupLSAG_07","8/5/2014","A. DeMarco, T. Fezza","soil extraction","","","","","","","A","NEED TO FIND",1,"","",""
"173",5157,NA,"laupLSAG_07","8/5/2014","A. DeMarco, T. Fezza","leaf litter","","","","","","","A","NEED TO FIND",1,"","",""
"174",5158,NA,"laupLSAG_07","8/5/2014","A. DeMarco, T. Fezza","soil extraction","","","","","","","C","NEED TO FIND",1,"","",""
"175",5159,NA,"laupLSAG_07","8/5/2014","A. DeMarco, T. Fezza","leaf litter","","","","","","","C","Wellman 220",1,"","",""
"176",5160,NA,"laupLSAG_07","8/5/2014","A. DeMarco, T. Fezza","soil extraction","","","","","","","E","NEED TO FIND",1,"","",""
"177",5161,NA,"laupLSAG_07","8/5/2014","A. DeMarco, T. Fezza","leaf litter","","","","","","","E","NEED TO FIND",1,"","",""
"178",5162,NA,"laupLSAG_04","8/5/2014","A. DeMarco, T. Fezza","soil extraction","","","","","","","A","UHH",1,"","2 with 5162 and A 1 in Berkeley",""
"179",5163,NA,"laupLSAG_04","8/5/2014","A. DeMarco, T. Fezza","leaf litter","","","","","","","A","Wellman 220",1,"","",""
"180",5164,NA,"laupLSAG_04","8/5/2014","A. DeMarco, T. Fezza","soil extraction","","","","","","","C","NEED TO FIND",1,"","",""
"181",5165,NA,"laupLSAG_04","8/5/2014","A. DeMarco, T. Fezza","leaf litter","","","","","","","C","Wellman 220",1,"","",""
"182",5166,NA,"laupLSAG_04","8/5/2014","A. DeMarco, T. Fezza","soil extraction","","","","","","","E","Wellman 220",1,"","2 with 5166 and E, 1 in Berkeley",""
"183",5167,NA,"laupLSAG_04","8/5/2014","A. DeMarco, T. Fezza","leaf litter","","","","","","","E","UHH",1,"","",""
"184",5168,NA,"laupLSAG_01","8/5/2014","A. DeMarco, T. Fezza","soil extraction","","","","","","","A","NEED TO FIND",1,"","",""
"185",5169,NA,"laupLSAG_01","8/5/2014","A. DeMarco, T. Fezza","leaf litter","","","","","","","A","Wellman 220",1,"","",""
"186",5170,NA,"laupLSAG_01","8/5/2014","A. DeMarco, T. Fezza","soil extraction","","","","","","","C","NEED TO FIND",1,"","",""
"187",5171,NA,"laupLSAG_01","8/5/2014","A. DeMarco, T. Fezza","leaf litter","","","","","","","C","UHH",1,"","",""
"188",5172,NA,"laupLSAG_01","8/5/2014","A. DeMarco, T. Fezza","soil extraction","","","","","","","E","NEED TO FIND",1,"","",""
"189",5173,NA,"laupLSAG_01","8/5/2014","A. DeMarco, T. Fezza","possible litter","","","","","","","E","Wellman 220",1,"","",""
"190",5174,NA,"thurston_06","8/11/2014","C. Ewing, T. Fezza","soil extraction","","","","","","","A","NEED TO FIND",1,"","",""
"191",5175,1,"thurston_06","8/11/2014","C. Ewing, T. Fezza","leaf litter","","","","","","","A","220 Wellman",1,"1","",""
"192",5176,NA,"thurston_06","8/11/2014","C. Ewing, T. Fezza","soil extraction","","","","","","","C","NEED TO FIND",1,"","",""
"193",5177,1,"thurston_06","8/11/2014","C. Ewing, T. Fezza","leaf litter","","","","","","","C","220 Wellman",1,"1","",""
"194",5178,1,"thurston_06","8/11/2014","C. Ewing, T. Fezza","leaf litter","","","","","","","E","220 Wellman",1,"1","",""
